Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Suicune (Shadow),76.5,245,water,none,106.9,143.1,136,2079389,18.5,1491,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Golem (Shadow),76.4,76,rock,ground,125.2,121.7,117,1782513,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Heliolisk,76.4,695,electric,normal,137.1,112,105,1612926,21,1493,Volt Switch,Breaking Swipe,Parabolic Charge,3,3,3,50000
Sceptile (Shadow),76.4,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Fury Cutter,Frenzy Plant,Breaking Swipe,12,9,3,10000
Servine (Shadow),76.4,496,grass,none,107.2,137.4,142,2092314,49.5,1500,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Staravia,76.4,397,normal,flying,131.9,91.6,135,1631281,50,1468,Quick Attack,Brave Bird,Fly,7,6,1,10000
Dugtrio,76.3,51,ground,none,136.4,120.5,99,1627049,41.5,1495,Mud Slap,Mud Bomb,Stone Edge,4,6,3,50000
Magmortar,76.3,467,fire,none,141.4,103.4,108,1578615,17.5,1500,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Mawile (Shadow),76.3,303,steel,fairy,125.9,121.2,117,1784529,38.5,1500,Fairy Wind,Iron Head,Play Rough,6,7,5,75000
Pumpkaboo (Average),76.3,710,ghost,grass,114.3,116,126,1669772,50,1381,Astonish,Grass Knot,Foul Play,5,4,5,75000
Snorlax,76.3,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Avalugg (Hisuian),76.2,713,ice,rock,117,134.7,121,1906728,16,1498,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Escavalier (Shadow),76.2,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Bug Bite,Drill Run,Razor Shell,15,12,3,50000
Klang,76.2,600,steel,none,114.1,137,125,1954283,31.5,1494,Metal Sound,Thunderbolt,Vise Grip,7,5,5,75000
Muk,76.2,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Passimian,76.2,766,fighting,none,129.9,100.5,132,1723475,18.5,1496,Counter,Brutal Swing,Brick Break,6,7,3,75000
Rhydon,76.1,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Slowking (Galarian),76.1,199,poison,psychic,117.9,115.5,139,1893827,20.5,1498,Acid,Surf,Shadow Ball,6,7,3,50000
Obstagoon (Shadow),76,862,dark,normal,112.6,126.7,138,1969669,21,1494,Counter,Cross Chop,Night Slash,6,6,3,10000
Parasect,76,47,bug,grass,124.2,118.3,122,1792012,30.5,1495,Fury Cutter,X-Scissor,Cross Poison,10,9,3,50000
Excadrill,75.9,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Magnemite,75.9,81,electric,steel,148.7,113.4,89,1501640,50,1495,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Primarina,75.9,730,water,fairy,131.9,116.8,110,1694382,17.5,1499,Charm,Disarming Voice,Hydro Cannon,8,7,3,10000
Tauros (Combat),75.9,128,fighting,none,127.8,123.1,111,1746363,20,1494,Double Kick,Close Combat,Trailblaze,4,4,3,50000
Aipom (Shadow),75.8,190,normal,none,126.1,105.2,134,1778842,49,1500,Astonish,Swift,Aerial Ace,4,4,3,50000
Fraxure,75.8,611,dragon,none,145.5,89.3,119,1545235,24.5,1499,Dragon Tail,Dragon Claw,Aqua Tail,4,4,5,75000
Heatran,75.8,485,fire,steel,131.9,116.4,110,1689500,15,1494,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Kecleon,75.8,352,normal,none,115.6,142.2,117,1923248,27.5,1495,Sucker Punch,Aerial Ace,Ice Beam,6,8,5,75000
Mienshao,75.8,620,fighting,none,156.5,84.8,106,1407427,20,1486,Force Palm,Brick Break,Brutal Swing,4,4,3,50000
Obstagoon,75.8,862,dark,normal,112.6,126.7,138,1969669,21,1494,Counter,Night Slash,Cross Chop,6,6,3,10000
Seaking,75.8,119,water,none,123.1,105.9,140,1825075,26.5,1500,Poison Jab,Drill Run,Icy Wind,7,7,3,50000
Tyrunt,75.8,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Aggron (Shadow),75.7,306,steel,rock,116.1,154,107,1912293,18.5,1492,Metal Sound,Rock Tomb,Thunder,7,8,1,10000
Articuno (Galarian),75.7,144,psychic,flying,134.1,108.3,115,1671021,15.5,1498,Psycho Cut,Fly,Brave Bird,5,7,20,100000
Palossand,75.7,770,ghost,ground,116.6,120.4,136,1909914,23,1494,Astonish,Scorching Sands,Shadow Ball,5,6,3,50000
Sandshrew (Alolan),75.7,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Scolipede (Shadow),75.7,545,bug,poison,132.6,121.1,105,1686037,23,1495,Poison Sting,X-Scissor,Megahorn,5,7,1,10000
Thundurus (Incarnate),75.7,642,electric,flying,147.6,97.1,106,1519654,16.5,1500,Thunder Shock,Thunder Punch,Crunch,5,5,20,100000
Togekiss,75.7,468,fairy,flying,124.8,125.3,114,1783452,16.5,1495,Charm,Psyshock,Aura Sphere,7,10,3,50000
Vullaby,75.7,629,dark,flying,100.8,129.4,157,2048662,50,1437,Air Slash,Brave Bird,Foul Play,7,5,5,75000
Staravia (Shadow),75.6,397,normal,flying,131.9,91.6,135,1631281,50,1468,Quick Attack,Brave Bird,Fly,7,6,1,10000
Deoxys (Defense),75.5,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,6,10,20,100000
Zygarde (50% Forme),75.5,718,dragon,ground,114.1,128.3,133,1947950,15.5,1494,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Golbat,75.4,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,6,8,1,10000
Shiftry (Shadow),75.4,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Gardevoir (Shadow),75.3,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Staraptor,75.3,398,normal,flying,140.4,90.8,124,1581461,19.5,1492,Quick Attack,Fly,Close Combat,6,6,1,10000
Sandshrew,75.2,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Dhelmise,75.1,781,ghost,grass,139.8,109.3,105,1604674,20,1498,Shadow Claw,Power Whip,Wrap,7,6,5,50000
Golbat (Shadow),75.1,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,6,8,1,10000
Raticate (Alolan) (Shadow),75.1,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Hyper Beam,6,10,1,10000
Braixen,75,654,fire,none,130.4,106.7,123,1710666,31.5,1497,Ember,Psyshock,Flame Charge,6,8,3,10000
Gholdengo,75,1000,steel,ghost,135.7,106.2,114,1643435,15.5,1494,Hex,Shadow Ball,Power Gem,5,4,5,10000
Conkeldurr (Shadow),74.9,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Girafarig,74.9,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Graveler (Alolan) (Shadow),74.9,75,rock,electric,123.4,124.9,118,1819319,30.5,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Drilbur,74.8,529,ground,none,139.5,81.9,141,1610077,49,1499,Mud Slap,Drill Run,Rock Tomb,5,5,3,50000
Hypno,74.8,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Ivysaur,74.8,2,grass,poison,118.6,121.7,130,1876886,36.5,1493,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Lunatone,74.8,337,rock,psychic,119.8,108.8,143,1863825,23.5,1494,Psywave,Rock Slide,Moonblast,12,15,3,50000
Rhyhorn (Shadow),74.8,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Jirachi,74.7,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Dazzling Gleam,4,5,20,100000
Incineroar,74.6,727,fire,dark,125.8,106.9,132,1775070,18.5,1498,Snarl,Darkest Lariat,Blast Burn,5,4,3,10000
Slowbro (Galarian),74.6,80,poison,psychic,119.1,108.4,145,1871629,22.5,1493,Poison Jab,Scald,Brutal Swing,8,5,3,50000
Drilbur (Shadow),74.5,529,ground,none,139.5,81.9,141,1610077,49,1499,Mud Slap,Drill Run,Rock Tomb,5,5,3,50000
Graveler (Alolan),74.5,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Hitmontop,74.5,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,8,8,5,75000
Muk (Alolan),74.5,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Pyroar,74.5,668,fire,normal,135,98,125,1653456,20,1496,Incinerate,Flame Charge,Dark Pulse,3,3,3,10000
Blaziken (Shadow),74.4,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Fire Spin,Blaze Kick,Blast Burn,4,5,3,10000
Bruxish,74.4,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Golem,74.4,76,rock,ground,125.2,121.7,117,1782513,19,1497,Mud Slap,Stone Edge,Rock Blast,6,4,1,10000
Lugia,74.4,249,psychic,flying,102.4,165,129,2181164,15,1496,Dragon Tail,Fly,Aeroblast,5,9,20,100000
Scolipede,74.4,545,bug,poison,132.6,121.1,105,1686037,23,1495,Poison Sting,X-Scissor,Megahorn,5,7,1,10000
Baxcalibur,74.3,998,dragon,ice,136.2,96.2,125,1638843,15.5,1495,Ice Fang,Avalanche,Dragon Claw,8,6,5,75000
Grimer (Alolan) (Shadow),74.3,88,poison,dark,123.6,86,171,1818779,49,1500,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Pumpkaboo (Small),74.3,710,ghost,grass,115.1,116.8,119,1600115,50,1359,Astonish,Grass Knot,Foul Play,5,4,5,75000
Purugly (Shadow),74.3,432,normal,none,125.5,105.5,133,1762021,28.5,1489,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Staraptor (Shadow),74.3,398,normal,flying,140.4,90.8,124,1581461,19.5,1492,Quick Attack,Fly,Close Combat,6,6,1,10000
Girafarig (Shadow),74.1,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Houndstone,74.1,972,ghost,none,121,131.2,117,1857323,22.5,1500,Lick,Psychic Fangs,Shadow Ball,12,19,3,50000
Solrock,74.1,338,rock,psychic,119.8,108.8,143,1863825,23.5,1494,Psywave,Rock Slide,Psychic,12,14,3,50000
Chansey,74,113,normal,none,63,120.2,421,3188219,50,1418,Zen Headbutt,Dazzling Gleam,Psychic,10,10,5,75000
Charmeleon (Shadow),74,5,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Fire Punch,Flamethrower,6,8,3,10000
Chimecho,74,358,psychic,none,120.2,120.2,129,1864669,25,1500,Astonish,Psyshock,Shadow Ball,4,6,5,75000
Dartrix,74,723,grass,flying,112.3,116.8,152,1993822,34.5,1498,Leafage,Brave Bird,Seed Bomb,8,7,3,10000
Granbull,74,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Quilladin,74,651,grass,none,115.4,130,129,1935329,35.5,1495,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Regice (Shadow),73.9,378,ice,none,105.4,182.5,111,2135412,18,1500,Lock On,Blizzard,Thunder,15,12,20,100000
Alomomola,73.8,594,water,none,96.7,98.8,240,2292831,26,1490,Waterfall,Hydro Pump,Blizzard,10,10,5,75000
Nidoking (Shadow),73.8,34,poison,ground,130.1,104.1,127,1719018,21.5,1498,Fury Cutter,Sand Tomb,Earth Power,10,14,3,50000
Sneasel (Hisuian) (Shadow),73.8,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Haxorus,73.7,612,dragon,none,151.1,95.7,102,1475018,15,1496,Dragon Tail,Breaking Swipe,Surf,4,5,5,75000
Misdreavus,73.7,200,ghost,none,124.1,119,122,1801213,29.5,1498,Psywave,Dark Pulse,Shadow Sneak,13,12,3,50000
Aipom,73.6,190,normal,none,126.1,105.2,134,1778842,49,1500,Astonish,Swift,Aerial Ace,4,4,3,50000
Growlithe (Shadow),73.6,58,fire,none,126.9,90.8,135,1554545,50,1405,Ember,Body Slam,Flamethrower,5,8,3,50000
Muk (Alolan) (Shadow),73.6,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Dark Pulse,Acid Spray,8,7,3,50000
Ninjask,73.6,291,bug,flying,144.2,89.1,120,1541269,28,1496,Fury Cutter,Aerial Ace,Bug Buzz,10,15,5,75000
Conkeldurr,73.5,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Probopass,73.5,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Shiftry,73.5,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Slurpuff,73.5,685,fairy,none,117.4,118.1,138,1912211,25.5,1499,Fairy Wind,Play Rough,Energy Ball,7,7,3,50000
Sneasel (Hisuian),73.5,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,Aerial Ace,7,6,3,50000
Torkoal,73.5,324,fire,none,107.6,151.3,127,2067715,27,1491,Ember,Overheat,Earthquake,8,10,3,50000
Vigoroth (Shadow),73.5,288,normal,none,117.7,112.7,144,1909363,28.5,1499,Counter,Body Slam,Rock Slide,6,8,5,75000
Ho-Oh,73.4,250,fire,flying,123.6,128.2,114,1806501,14.5,1500,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Leafeon,73.4,470,grass,none,128.1,133.3,102,1742118,18.5,1496,Quick Attack,Leaf Blade,Last Resort,5,7,5,75000
Sandshrew (Shadow),73.4,27,ground,none,118.5,113.4,127,1706968,50,1426,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Uxie,73.4,480,psychic,none,102,176.8,122,2200329,22.5,1500,Confusion,Swift,Future Sight,3,6,20,100000
Victini,73.4,494,psychic,fire,120.5,119.4,129,1855163,16.5,1498,Quick Attack,V-Create,Psychic,5,7,20,100000
Cacturne (Shadow),73.2,332,grass,dark,148.9,83.5,121,1505536,23.5,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Cryogonal,73.2,615,ice,none,116.5,136.2,121,1919929,20,1497,Ice Shard,Triple Axel,Night Slash,5,4,5,75000
Golduck (Shadow),73.2,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Grovyle,73.2,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Quick Attack,Leaf Blade,Aerial Ace,5,5,3,10000
Kabuto,73.2,140,rock,water,133.6,128.6,97,1667621,49,1498,Mud Shot,Aqua Jet,Rock Tomb,5,7,5,75000
Oinkologne,73.2,916,normal,none,118.1,102.8,156,1895471,21,1499,Tackle,Body Slam,Trailblaze,12,15,1,10000
Shiinotic,73.2,756,grass,fairy,116.8,132.3,124,1915843,30.5,1497,Astonish,Moonblast,Seed Bomb,6,5,3,50000
Poliwhirl,73.1,61,water,none,115.1,114.3,148,1947108,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Hitmontop (Shadow),73,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,8,8,5,75000
Latios (Shadow),73,381,dragon,psychic,139,113,102,1601207,14,1495,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Manectric,73,310,electric,none,142.5,91.3,120,1561030,23.5,1494,Thunder Fang,Psychic Fangs,Wild Charge,6,8,3,50000
Misdreavus (Shadow),73,200,ghost,none,124.1,119,122,1801213,29.5,1498,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Swoobat,73,528,psychic,flying,126.9,100.9,138,1767259,35.5,1499,Confusion,Fly,Psychic Fangs,4,3,1,10000
Golduck,72.9,55,water,none,125.5,112.2,127,1787063,22.5,1499,Water Gun,Cross Chop,Liquidation,12,15,3,50000
Cacturne,72.8,332,grass,dark,148.9,83.5,121,1505536,23.5,1498,Sucker Punch,Trailblaze,Dynamic Punch,7,7,3,50000
Durant,72.8,632,bug,steel,135.9,121.2,100,1647192,21,1499,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Krookodile,72.8,553,ground,dark,133.9,94.8,132,1675322,18.5,1498,Mud Slap,Crunch,Earthquake,5,7,5,75000
Magby,72.8,240,fire,none,139.5,95.8,120,1603478,50,1496,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Milotic,72.8,350,water,none,113.2,132.2,132,1974479,18.5,1495,Dragon Tail,Surf,Wrap,5,5,5,75000
Poliwhirl (Shadow),72.8,61,water,none,115.1,114.3,148,1947108,50,1500,Bubble,Scald,Mud Bomb,5,4,3,50000
Rhyhorn,72.8,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Bulldoze,Stomp,5,4,3,50000
Tauros (Blaze),72.8,128,fighting,fire,127.8,123.1,111,1746363,20,1494,Double Kick,Flame Charge,Trailblaze,5,4,3,50000
Wormadam (Sandy),72.8,413,bug,ground,109.9,146.8,126,2032523,33.5,1497,Bug Bite,Bug Buzz,Bulldoze,20,15,1,10000
Dialga (Shadow),72.7,483,steel,dragon,138.9,109,107,1619687,13.5,1500,Dragon Breath,Iron Head,Draco Meteor,17,22,20,100000
Rayquaza,72.7,384,dragon,flying,146.5,92,113,1522152,14,1496,Dragon Tail,Breaking Swipe,Dragon Ascent,4,8,20,100000
Hypno (Shadow),72.6,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Thunder Punch,Fire Punch,4,4,3,50000
Karrablast (Shadow),72.6,588,bug,none,127.7,85.7,127,1390325,50,1336,Fury Cutter,X-Scissor,Drill Run,10,12,3,50000
Naganadel,72.6,804,poison,dragon,149.2,97.2,103,1494370,17.5,1500,Poison Jab,Dragon Claw,Sludge Bomb,5,8,20,100000
Electabuzz,72.5,125,electric,none,130.9,112.6,115,1694299,24,1490,Thunder Shock,Thunder Punch,Return,5,8,5,75000
Stoutland,72.5,508,normal,none,125.8,114.7,124,1788973,19,1500,Sand Attack,Wild Charge,Crunch,12,12,1,10000
Basculin,72.4,550,water,none,134,96.5,129,1667480,27,1495,Water Gun,Aqua Tail,Aqua Jet,12,14,1,10000
Crawdaunt (Shadow),72.4,342,water,dark,144.5,96.9,110,1540695,22.5,1497,Snarl,Night Slash,Scald,3,4,3,50000
Darumaka (Shadow),72.4,554,fire,none,132,83.5,154,1697707,49,1499,Fire Fang,Fire Punch,Flame Charge,7,9,3,50000
Palpitoad,72.4,536,water,ground,116.6,101.6,162,1919059,48.5,1497,Mud Shot,Earth Power,Water Pulse,7,7,3,50000
Rufflet,72.4,627,normal,flying,126.3,91.1,153,1759870,46,1492,Wing Attack,Brave Bird,Fly,8,7,5,75000
Quaquaval,72.3,914,water,fighting,137.9,97.1,121,1620197,18.5,1496,Wing Attack,Close Combat,Aqua Jet,7,6,3,10000
Bayleef,72.2,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Magical Leaf,Ancient Power,Energy Ball,5,6,3,10000
Purugly,72.2,432,normal,none,125.5,105.5,133,1762021,28.5,1489,Shadow Claw,Aerial Ace,Thunder,5,8,3,50000
Weezing (Shadow),72.2,110,poison,none,118.4,138.9,115,1889997,24.5,1495,Rollout,Sludge Bomb,Shadow Ball,4,5,3,50000
Blaziken,72.1,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Fire Spin,Blaze Kick,Blast Burn,4,5,3,10000
Frigibax,72.1,996,dragon,ice,125.2,84.9,149,1583298,50,1410,Ice Fang,Avalanche,Dragon Claw,8,6,5,75000
Salamence (Shadow),72.1,373,dragon,flying,142.9,92.6,117,1548425,14.5,1490,Dragon Tail,Fly,Outrage,5,7,5,75000
Meowscarada,72,908,grass,dark,141.6,95,118,1586931,20,1500,Leafage,Night Slash,Frenzy Plant,5,7,3,10000
Corsola,71.9,222,water,rock,109.3,141.6,133,2057200,47.5,1500,Bubble,Power Gem,Rock Blast,5,4,3,50000
Cubone (Shadow),71.9,104,ground,none,88.2,133.6,127,1497128,50,1152,Mud Slap,Bone Club,Dig,4,5,3,50000
Ivysaur (Shadow),71.9,2,grass,poison,120.3,121.1,128,1864071,37.5,1497,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Krokorok,71.9,552,ground,dark,133.6,87.4,142,1658012,50,1492,Mud Slap,Crunch,Earthquake,5,7,5,75000
Sandshrew (Alolan) (Shadow),71.9,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Swadloon,71.9,541,bug,grass,106.7,147.9,133,2099118,50,1500,Bug Bite,Energy Ball,Silver Wind,19,15,1,10000
Tangrowth,71.9,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Pignite,71.8,499,fire,fighting,128.4,84.2,161,1740293,29.5,1495,Ember,Rock Tomb,Flame Charge,8,8,3,10000
Luxray,71.7,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,7,5,5,75000
Nidoking,71.7,34,poison,ground,130.1,104.1,127,1719018,21.5,1498,Fury Cutter,Sand Tomb,Earth Power,10,14,3,50000
Vigoroth,71.7,288,normal,none,117.7,112.7,144,1909363,28.5,1499,Counter,Body Slam,Rock Slide,6,8,5,75000
Dolliv,71.6,929,grass,normal,119.3,121.8,129,1875490,50,1498,Magical Leaf,Earth Power,Trailblaze,6,5,3,50000
Eelektrik,71.6,603,electric,none,123.2,110.9,133,1818238,36.5,1498,Acid,Discharge,Crunch,5,6,1,10000
Maushold,71.6,925,normal,none,117.3,123.7,132,1915269,29,1500,Mud Shot,Swift,Crunch,5,6,1,10000
Weezing,71.6,110,poison,none,117,138.9,117,1901382,24.5,1491,Rollout,Sludge Bomb,Shadow Ball,4,5,3,50000
Ceruledge,71.5,937,fire,ghost,136.9,114,105,1638875,17.5,1498,Incinerate,Shadow Ball,Flame Charge,3,3,5,50000
Floette,71.5,670,fairy,none,114.3,133.7,128,1955261,44,1499,Vine Whip,Dazzling Gleam,Psychic,7,7,3,50000
Wobbuffet,71.5,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Return,Mirror Coat,12,10,3,50000
Karrablast,71.3,588,bug,none,127.7,85.7,127,1390325,50,1336,Fury Cutter,X-Scissor,Drill Run,10,12,3,50000
Linoone (Galarian) (Shadow),71.3,264,dark,normal,114.6,112.2,152,1953755,39,1497,Snarl,Body Slam,Dig,3,4,1,10000
Vikavolt,71.2,738,bug,electric,146.4,94.4,111,1534869,17.5,1500,Volt Switch,X-Scissor,Fly,3,3,1,10000
Croconaw (Shadow),71.1,159,water,none,118.8,118.8,134,1891327,35,1499,Water Gun,Ice Punch,Crunch,14,15,3,10000
Darumaka,71.1,554,fire,none,132,83.5,154,1697707,49,1499,Fire Fang,Fire Punch,Flame Charge,7,9,3,50000
Grotle (Shadow),71.1,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Seviper,71.1,336,poison,none,138.8,89.5,130,1616076,27,1500,Poison Jab,Poison Fang,Wrap,6,7,3,50000
Buzzwole,71,794,bug,fighting,129.3,112.7,119,1735016,16,1498,Counter,Superpower,Lunge,7,8,20,100000
Crawdaunt,71,342,water,dark,144.5,96.9,110,1540695,22.5,1497,Snarl,Night Slash,Scald,3,4,3,50000
Ponyta,71,77,fire,none,134.8,109.4,113,1666179,36.5,1500,Ember,Flame Charge,Stomp,8,6,3,50000
Combusken,70.9,256,fire,fighting,131,99.6,131,1710523,39,1497,Ember,Flame Charge,Rock Slide,8,7,3,10000
Grovyle (Shadow),70.9,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Bullet Seed,Leaf Blade,Aerial Ace,3,4,3,10000
Charmeleon,70.8,5,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Fire Punch,Return,6,10,3,10000
Croconaw,70.8,159,water,none,118.8,118.8,134,1891327,35,1499,Water Gun,Ice Punch,Crunch,14,15,3,10000
Ho-Oh (Shadow),70.8,250,fire,flying,124,128.5,113,1799523,14,1499,Incinerate,Brave Bird,Earthquake,3,4,20,100000
Latios,70.8,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Lopunny,70.8,428,normal,none,112.1,146.4,121,1985734,27.5,1493,Double Kick,Triple Axel,Focus Blast,4,7,3,50000
Lugia (Shadow),70.8,249,psychic,flying,103.3,165.3,127,2168251,14.5,1497,Dragon Tail,Fly,Aeroblast,5,9,20,100000
Lumineon,70.8,457,water,none,109.5,137.2,136,2042625,33,1497,Water Gun,Water Pulse,Silver Wind,19,15,3,50000
Quaxwell,70.8,913,water,none,124.7,103.1,139,1786476,32.5,1496,Water Gun,Aqua Jet,Aerial Ace,14,14,3,10000
Eelektross,70.7,604,electric,none,134.4,98,127,1672478,20,1500,Volt Switch,Dragon Claw,Thunderbolt,3,4,1,10000
Ludicolo,70.7,272,water,grass,117.1,123.7,132,1912593,24,1497,Bubble,Scald,Leaf Storm,5,5,3,50000
Articuno,70.6,144,ice,flying,113.2,143.6,122,1983584,18.5,1500,Ice Shard,Triple Axel,Ancient Power,5,5,20,100000
Electrode,70.6,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Discharge,Hyper Beam,3,5,3,50000
Huntail,70.6,367,water,none,131.5,126.3,102,1694679,24,1498,Water Gun,Aqua Tail,Crunch,12,15,3,50000
Mewtwo (Shadow),70.6,150,psychic,none,147.9,94.4,108,1507802,13,1499,Psycho Cut,Psystrike,Thunderbolt,5,7,20,100000
Tangrowth (Shadow),70.6,465,grass,none,121.8,112,135,1842421,18.5,1498,Vine Whip,Power Whip,Rock Slide,7,6,3,50000
Articuno (Shadow),70.5,144,ice,flying,113.8,140.2,124,1977704,18.5,1500,Ice Shard,Triple Axel,Ancient Power,5,5,20,100000
Gardevoir,70.5,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Gloom,70.5,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Acid,Sludge Bomb,Moonblast,7,8,3,50000
Kabutops,70.5,141,rock,water,135.5,121,100,1638836,20.5,1493,Fury Cutter,Stone Edge,Ancient Power,14,12,5,75000
Probopass (Shadow),70.5,476,rock,steel,97.4,197.6,119,2289182,27.5,1493,Spark,Rock Slide,Zap Cannon,7,12,3,50000
Seismitoad,70.5,537,water,ground,120.3,101.5,152,1856073,22,1498,Mud Shot,Earth Power,Sludge Bomb,7,7,3,50000
