winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
fighting,none,Double Kick,Close Combat,Trailblaze,normal,dark,normal,128,127.8,123.1,111,76.1,grass,none,Vine Whip,Power Whip,Rock Slide,steel,rock,normal,465,121.8,112.0,135,72.1
rock,grass,Acid,Rock Tomb,Grass Knot,normal,dark,normal,346,106.3,139.0,143,89.7,steel,ground,Thunder Fang,Psychic Fangs,Breaking Swipe,grass,grass,rock,208,98.4,185.2,124,91.4
bug,flying,Quick Attack,Aerial Ace,Silver Wind,normal,dark,normal,193,131.6,87.4,148,63.6,psychic,none,Confusion,Rock Slide,Future Sight,grass,grass,rock,576,116.6,137.3,120,61.7
water,psychic,Water Gun,Surf,Ice Beam,normal,dark,normal,80,113.4,120.9,143,67.2,poison,none,Poison Sting,Sludge Bomb,Dig,grass,grass,rock,33,124.2,103.7,140,70.0
water,dragon,Dragon Breath,Outrage,Octazooka,normal,dark,normal,230,121.8,126.1,119,70.3,fire,dragon,Incinerate,Dragon Pulse,Overheat,grass,grass,rock,776,114.2,153.0,112,78.9
dragon,flying,Dragon Breath,Sky Attack,Moonblast,normal,dark,normal,334,103.4,153.3,136,81.7,grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,rock,1,111.8,105.9,120,58.7
dark,none,Sucker Punch,Night Slash,Play Rough,normal,dark,normal,828,121.7,123.1,123,84.6,normal,none,Zen Headbutt,Dazzling Gleam,Psychic,grass,grass,rock,113,63.0,120.2,421,74.0
ghost,none,Astonish,Dynamic Punch,Shadow Punch,normal,dark,normal,477,119.8,172.9,90,91.1,water,none,Bubble,Drill Peck,Icy Wind,grass,grass,rock,393,106.7,98.3,131,56.6
ground,ghost,Mud Slap,Shadow Punch,Brick Break,normal,dark,normal,622,119.3,89.9,141,78.8,psychic,none,Hidden Power (Psychic),Struggle,nan,grass,grass,rock,201,126.9,89.1,125,38.1
poison,water,Acid,Aqua Tail,Sludge Bomb,normal,dark,normal,690,104.2,104.2,127,70.5,ice,ground,Powder Snow,Icicle Spear,High Horsepower,grass,grass,rock,473,136.2,87.4,137,76.7
ghost,dark,Sucker Punch,Rock Tomb,Shadow Ball,normal,dark,normal,442,121.2,146.4,104,85.0,normal,none,Lock On,Tri Attack,Zap Cannon,grass,grass,rock,474,148.7,88.4,115,52.5
fire,none,Karate Chop,Fire Punch,Brick Break,normal,dark,normal,240,139.5,95.8,120,72.9,steel,flying,Steel Wing,Brave Bird,Sky Attack,grass,grass,rock,227,106.2,163.1,122,82.9
poison,normal,Mud Slap,Poison Fang,Sludge Bomb,normal,dark,normal,945,134.9,106.5,115,77.7,bug,steel,Bug Bite,Sand Tomb,Rock Tomb,steel,flying,flying,205,110.2,141.6,130,93.6
fairy,none,Vine Whip,Grass Knot,Draining Kiss,normal,dark,normal,764,116.9,155.4,105,66.5,steel,psychic,Metal Sound,Psyshock,Payback,steel,flying,flying,437,111.3,151.8,119,86.7
ice,ghost,Hex,Avalanche,Shadow Ball,normal,dark,normal,478,122.6,115.6,128,85.3,rock,none,Counter,Stone Edge,Psychic Fangs,steel,flying,flying,745,134.3,101.0,123,63.6
rock,none,Rock Throw,Rock Tomb,Rock Slide,normal,dark,normal,438,116.8,124.4,127,70.3,grass,none,Fury Cutter,Frenzy Plant,Breaking Swipe,steel,flying,flying,254,136.9,108.5,110,77.3
normal,fighting,Shadow Claw,Superpower,Stomp,normal,dark,normal,760,130.4,85.6,154,78.6,bug,fire,Ember,Flame Charge,Bug Buzz,steel,flying,flying,636,131.7,99.2,130,66.7
dark,flying,Feint Attack,Drill Peck,Foul Play,normal,dark,normal,198,143.5,80.9,134,62.5,normal,none,Rollout,Body Slam,Thunderbolt,fire,fire,bug,241,105.4,135.5,148,81.7
normal,none,Yawn,Body Slam,Earthquake,normal,dark,normal,289,139.3,83.6,138,20.2,fighting,flying,Poison Jab,Flying Press,Aerial Ace,fire,fire,bug,701,128.9,108.8,124,78.9
electric,psychic,Thunder Shock,Wild Charge,Trailblaze,normal,dark,normal,26,136.2,111.7,108,81.2,ice,water,Powder Snow,Surf,Body Slam,fire,fire,bug,364,108.6,113.2,167,84.2
steel,ground,Thunder Fang,Psychic Fangs,Breaking Swipe,normal,dark,normal,208,98.4,185.2,124,91.4,water,dark,Water Shuriken,Hydro Cannon,Night Slash,fire,fire,bug,658,139.6,101.6,113,86.3
fighting,none,Bubble,Crabhammer,Power-Up Punch,normal,dark,normal,739,135.7,99.1,122,59.6,water,fairy,Charm,Disarming Voice,Hydro Cannon,fire,fire,bug,730,131.9,116.8,110,75.9
grass,normal,Magical Leaf,Earth Power,Trailblaze,normal,dark,normal,929,119.3,121.8,129,71.8,dark,none,Snarl,Brutal Swing,Megahorn,fairy,fairy,water,359,157.9,82.7,109,63.9
ground,electric,Thunder Shock,Mud Bomb,Discharge,normal,dark,normal,618,101.8,127.9,169,91.3,poison,none,Mud Shot,Sludge,Ice Beam,fairy,fairy,water,317,104.1,123.4,168,85.3
ghost,none,Astonish,Night Shade,Power Gem,normal,dark,normal,864,146.2,111.1,94,65.8,grass,steel,Bullet Seed,Power Whip,Thunder,fairy,fairy,water,598,107.3,155.1,125,81.0
fighting,none,Force Palm,Brick Break,Brutal Swing,normal,dark,normal,620,156.5,84.8,106,75.8,poison,fighting,Poison Sting,Dynamic Punch,Shadow Ball,fairy,fairy,water,454,136.6,91.5,131,83.9
ghost,grass,Hex,Shadow Ball,Seed Bomb,normal,dark,normal,711,117.0,153.4,106,79.8,normal,flying,Steel Wing,Sky Attack,Night Shade,fairy,fairy,water,441,140.4,78.4,145,51.6
bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),normal,dark,normal,649,141.1,111.7,100,82.6,dark,none,Sucker Punch,Crunch,Poison Fang,fairy,fairy,water,262,125.9,104.3,134,81.3
fighting,none,Fury Cutter,Leaf Blade,Close Combat,normal,dark,normal,865,145.9,107.4,98,83.1,fire,flying,Ember,Fly,Aerial Ace,fairy,fairy,water,662,123.0,103.2,142,80.7
electric,none,Volt Switch,Brutal Swing,Trailblaze,normal,dark,normal,181,127.4,106.8,129,77.8,fighting,none,Karate Chop,Cross Chop,Return,fairy,fairy,water,67,127.7,97.2,141,81.8
grass,dark,Leafage,Night Slash,Frenzy Plant,normal,dark,normal,908,141.6,95.0,118,72.1,water,ice,Ice Shard,Icy Wind,Drill Run,fairy,fairy,water,87,102.9,133.8,158,83.8
psychic,none,Psywave,Dynamic Punch,Shadow Ball,normal,dark,normal,326,114.5,128.3,133,88.9,fairy,none,Charm,Psychic Fangs,Body Slam,fairy,fairy,water,927,113.1,156.9,111,85.3
fighting,poison,Poison Jab,Close Combat,Aerial Ace,normal,dark,normal,215,135.5,110.7,110,73.5,poison,none,Infestation,Sludge,Dark Pulse,fairy,psychic,normal,109,112.6,131.1,113,57.8
water,dark,Waterfall,Crunch,Poison Fang,normal,dark,normal,319,166.6,64.8,124,64.7,rock,none,Mud Slap,Rock Slide,Bulldoze,fairy,psychic,normal,525,123.3,110.7,131,64.2
normal,none,Lick,Body Slam,Superpower,water,dark,poison,143,108.4,101.7,187,76.3,electric,none,Thunder Shock,Wild Charge,Trailblaze,fairy,psychic,normal,26,133.6,110.6,113,85.7
ground,rock,Mud Slap,Bulldoze,Stomp,water,dark,poison,111,113.4,110.2,158,72.8,rock,ice,Powder Snow,Weather Ball (Ice),Meteor Beam,fairy,psychic,normal,699,114.1,105.7,163,87.9
normal,none,Quick Attack,Swift,Fire Punch,water,dark,poison,427,121.8,100.8,135,69.0,rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,fairy,psychic,normal,698,114.3,104.2,164,80.0
grass,none,Razor Leaf,Grass Knot,Earth Power,water,dark,poison,812,133.5,97.7,129,66.0,rock,none,Sucker Punch,Stone Edge,Trailblaze,fairy,psychic,normal,745,145.2,92.5,115,63.9
grass,psychic,Confusion,Seed Bomb,Ancient Power,water,dark,poison,102,102.5,117.6,142,56.8,psychic,none,Confusion,Psyshock,Energy Ball,fairy,psychic,normal,677,113.4,108.4,145,63.5
ice,steel,Powder Snow,Night Slash,Blizzard,water,dark,poison,27,117.6,121.0,127,75.8,ground,dragon,Dragon Breath,Sand Tomb,Bug Buzz,fairy,psychic,normal,329,125.2,95.8,127,67.7
normal,none,Tackle,Body Slam,Trailblaze,water,dark,poison,916,118.1,102.8,156,73.2,rock,steel,Smack Down,Stone Edge,Flamethrower,dragon,ground,bug,411,81.1,246.7,138,89.2
bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),water,dark,poison,649,141.1,111.7,100,82.6,bug,poison,Poison Sting,Lunge,Trailblaze,dragon,ground,bug,168,124.7,102.0,141,79.9
poison,none,Infestation,Sludge,Dark Pulse,water,dark,poison,109,112.6,131.1,113,57.8,dark,ghost,Shadow Claw,Foul Play,Power Gem,dragon,ground,bug,302,121.0,123.5,124,88.9
rock,ground,Rock Throw,Breaking Swipe,Stone Edge,water,dark,poison,95,84.0,207.6,105,64.8,dark,none,Sucker Punch,Night Slash,Play Rough,dragon,ground,bug,828,121.7,123.1,123,84.6
fire,rock,Ember,Rock Slide,Flamethrower,water,dark,poison,58,131.9,89.9,142,68.2,bug,steel,Bullet Punch,Night Slash,Trailblaze,dragon,ground,bug,212,137.9,110.3,106,87.2
fire,ghost,Incinerate,Shadow Ball,Flame Charge,water,dark,poison,937,136.9,114.0,105,71.5,bug,poison,Poison Sting,Sludge Bomb,Signal Beam,dragon,ground,bug,544,96.6,158.0,113,60.0
grass,ice,Powder Snow,Icy Wind,Energy Ball,water,dark,poison,460,117.9,111.4,143,80.7,water,electric,Water Gun,Surf,Thunderbolt,poison,poison,bug,171,104.8,104.8,194,85.1
dragon,none,Dragon Tail,Dragon Claw,Night Slash,water,dark,poison,621,131.4,110.5,117,76.5,water,none,Rollout,Surf,Return,poison,poison,bug,321,119.6,66.8,235,80.8
normal,flying,Wing Attack,Sky Attack,Night Shade,water,dark,poison,164,105.3,120.2,167,76.8,fire,ghost,Ember,Fire Punch,Wild Charge,poison,poison,bug,157,139.6,105.1,109,77.3
grass,dragon,Dragon Breath,Fly,Seed Bomb,water,dark,poison,841,138.8,100.8,115,66.1,dragon,none,Dragon Breath,Dragon Energy,Breaking Swipe,poison,poison,bug,895,121.9,62.7,241,87.6
grass,none,Vine Whip,Power Whip,Rock Slide,water,dark,poison,465,121.8,112.0,135,72.1,rock,none,Rock Throw,Rock Slide,Rock Blast,poison,poison,bug,299,81.5,193.3,98,56.3
rock,none,Mud Slap,Superpower,Meteor Beam,water,dark,poison,526,127.2,118.4,116,69.1,poison,none,Poison Sting,Sludge Bomb,Dig,poison,poison,bug,33,124.2,103.7,140,70.0
bug,grass,Bug Bite,Energy Ball,Silver Wind,water,dark,poison,541,106.7,147.9,133,72.1,grass,steel,Metal Claw,Iron Head,Return,poison,poison,bug,597,81.5,142.9,119,50.7
bug,dark,Sucker Punch,X-Scissor,Trailblaze,water,dark,poison,920,132.9,104.1,121,80.5,water,psychic,Water Gun,Surf,Psychic,poison,poison,bug,199,113.4,120.9,143,67.2
psychic,none,Confusion,Swift,Future Sight,water,dark,poison,482,152.6,91.4,105,56.6,psychic,flying,Air Slash,Air Cutter,Ancient Power,poison,water,ghost,561,131.6,114.0,114,61.8
fire,rock,Ember,Rock Slide,Flamethrower,water,dark,poison,58,131.9,89.9,142,68.2,normal,none,Tackle,Body Slam,Trailblaze,poison,water,ghost,916,118.1,102.8,156,73.2
bug,water,Fury Cutter,X-Scissor,Aqua Jet,water,dark,poison,768,125.2,133.6,107,91.9,normal,none,Sucker Punch,Swift,Trailblaze,poison,water,ghost,162,116.1,105.4,158,89.5
steel,rock,Metal Sound,Rock Tomb,Body Slam,water,dark,poison,304,114.3,131.1,127,83.5,ghost,none,Psywave,Dark Pulse,Shadow Sneak,dark,normal,grass,200,124.1,119.0,122,73.8
bug,dark,Sucker Punch,X-Scissor,Trailblaze,water,dark,poison,920,132.9,104.1,121,80.5,psychic,none,Charge Beam,Psyshock,Dazzling Gleam,dark,normal,grass,518,113.7,108.9,159,58.2
psychic,none,Sucker Punch,Psychic,Thunderbolt,water,dark,poison,678,117.6,124.5,130,62.4,grass,psychic,Confusion,Seed Bomb,Ancient Power,dark,normal,grass,102,102.5,117.6,142,56.8
ice,water,Powder Snow,Icicle Spear,Earthquake,water,dark,poison,365,113.1,114.3,153,83.6,psychic,none,Confusion,Shadow Ball,Psychic,psychic,grass,rock,678,117.6,124.5,130,58.6
ghost,grass,Hex,Shadow Ball,Seed Bomb,water,dark,poison,711,117.0,153.4,106,79.8,dragon,none,Dragon Tail,Dragon Claw,Aqua Tail,psychic,grass,rock,611,145.5,89.3,119,75.8
poison,flying,Air Slash,Poison Fang,Shadow Ball,water,dark,poison,169,121.8,115.7,130,68.9,normal,none,Bite,Crunch,Hyper Fang,psychic,grass,rock,505,126.4,113.2,124,57.2
ghost,none,Astonish,Night Shade,Power Gem,flying,poison,ghost,222,99.6,162.1,139,92.3,water,none,Mud Slap,Mud Bomb,Body Slam,psychic,grass,rock,422,99.2,100.8,166,68.4
rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,flying,poison,ghost,698,114.3,104.2,164,80.0,normal,none,Lick,Body Slam,Power Whip,psychic,grass,rock,108,98.3,126.9,183,86.8
water,none,Fury Cutter,Aqua Tail,X-Scissor,flying,poison,ghost,502,123.8,99.4,147,86.1,normal,none,Sand Attack,Wild Charge,Crunch,psychic,grass,rock,508,125.8,114.7,124,72.5
rock,grass,Acid,Rock Tomb,Grass Knot,flying,poison,ghost,346,106.3,139.0,143,89.7,normal,flying,Wing Attack,Brave Bird,Fly,psychic,grass,rock,627,126.3,91.1,153,72.5
rock,ground,Mud Slap,Stone Edge,Rock Blast,flying,poison,ghost,76,125.2,121.7,117,74.4,grass,none,Bullet Seed,Sludge Bomb,Leaf Storm,psychic,grass,rock,192,128.7,102.2,131,60.3
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,poison,ghost,711,116.6,136.9,121,81.1,ice,none,Ice Fang,Ice Punch,Ice Beam,grass,poison,grass,554,132.0,83.5,154,68.2
rock,steel,Smack Down,Stone Edge,Flamethrower,flying,poison,ghost,411,81.1,246.7,138,89.2,grass,psychic,Bullet Seed,Seed Bomb,Psychic,grass,poison,grass,103,136.7,93.7,128,56.2
dragon,none,Dragon Tail,Dragon Claw,Night Slash,flying,poison,ghost,621,131.4,110.5,117,76.5,ghost,none,Psywave,Dark Pulse,Shadow Sneak,grass,poison,grass,200,124.1,119.0,122,73.8
electric,ice,Thunder Shock,Thunderbolt,Blizzard,flying,poison,ghost,479,129.2,143.2,93,61.6,electric,none,Spark,Wild Charge,Crunch,grass,poison,grass,404,134.1,91.1,137,65.8
fighting,none,Force Palm,Brick Break,Brutal Swing,flying,poison,ghost,620,156.5,84.8,106,75.8,bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),grass,poison,grass,649,141.1,111.7,100,82.6
bug,none,Water Shuriken,Bug Buzz,Acid Spray,flying,poison,ghost,617,143.2,84.3,129,53.4,ghost,none,Hex,Shadow Ball,Dark Pulse,bug,bug,normal,429,133.8,120.8,104,68.2
water,none,Rollout,Scald,Body Slam,flying,poison,ghost,320,117.4,68.3,239,81.1,water,none,Water Gun,Crabhammer,Ice Beam,ghost,ghost,dark,693,134.4,110.5,111,55.7
ghost,none,Hex,Shadow Ball,Dark Pulse,flying,poison,ghost,855,144.5,114.5,94,64.0,water,none,Water Gun,Weather Ball (Water),Thunder,ghost,ghost,dark,351,113.4,119.6,146,81.7
normal,none,Rollout,Body Slam,Shadow Ball,flying,poison,ghost,463,106.3,121.1,164,85.1,normal,grass,Feint Attack,Wild Charge,Trailblaze,ghost,ghost,dark,586,130.1,103.1,128,57.1
water,none,Water Gun,Aqua Tail,Last Resort,flying,poison,ghost,134,119.0,97.2,163,77.3,normal,none,Lock On,Tri Attack,Zap Cannon,ghost,ghost,dark,474,148.7,88.4,115,52.5
psychic,none,Hidden Power (Psychic),Struggle,nan,flying,poison,ghost,201,126.9,89.1,125,38.1,grass,poison,Acid,Sludge Bomb,Petal Blizzard,ghost,ghost,dark,45,129.1,110.9,121,68.8
bug,none,Tackle,Bug Buzz,Thunderbolt,flying,poison,ghost,313,111.1,136.8,132,55.0,bug,poison,Confusion,Sludge Bomb,Silver Wind,ghost,ghost,dark,269,95.0,148.7,142,64.5
water,fairy,Water Gun,Surf,Nature's Madness,flying,poison,ghost,788,115.3,155.3,108,77.9,grass,poison,Acid,Sludge Bomb,Moonblast,ghost,ghost,dark,44,122.6,114.9,130,70.7
fire,none,Fire Spin,Crunch,Flamethrower,flying,poison,ghost,514,136.6,94.5,126,63.6,psychic,flying,Air Slash,Air Cutter,Ancient Power,ghost,ghost,dark,561,131.6,114.0,114,61.8
grass,none,Tackle,Body Slam,Seed Bomb,flying,poison,ghost,387,112.6,105.0,135,52.3,grass,none,Razor Leaf,Grass Knot,Energy Ball,ghost,ghost,dark,811,124.7,108.5,133,66.5
ice,steel,Powder Snow,Night Slash,Blizzard,flying,poison,ghost,27,117.6,121.0,127,75.8,grass,none,Vine Whip,Leaf Blade,Brick Break,ghost,ghost,dark,673,119.2,95.0,165,82.2
electric,none,Thunder Fang,Psychic Fangs,Wild Charge,ice,dark,ice,310,142.5,91.3,120,73.0,ghost,grass,Hex,Shadow Ball,Seed Bomb,ghost,ghost,dark,711,116.6,136.9,121,81.1
fire,none,Incinerate,Crunch,Flamethrower,ice,dark,ice,909,106.7,93.3,152,64.5,water,dark,Water Shuriken,Hydro Cannon,Night Slash,ghost,ghost,dark,658,139.6,101.6,113,86.3
poison,psychic,Poison Jab,Scald,Brutal Swing,ice,dark,ice,80,119.1,108.4,145,74.7,normal,flying,Air Slash,Sky Attack,Hyper Beam,ghost,ghost,dark,521,139.2,96.2,120,48.6
rock,ground,Bite,Ancient Power,Dig,ice,dark,ice,247,121.1,112.7,136,55.5,psychic,fire,Quick Attack,V-Create,Psychic,ghost,ghost,dark,494,120.5,119.4,129,73.4
dragon,psychic,Dragon Breath,Mist Ball,Thunder,ice,dark,ice,380,124.5,137.9,105,64.0,poison,dark,Poison Sting,Crunch,Aqua Tail,ghost,ghost,dark,452,118.5,136.5,117,85.8
rock,none,Smack Down,Rock Slide,Flamethrower,ice,dark,ice,409,164.6,66.3,125,56.1,psychic,fairy,Charm,Psyshock,Power Whip,ghost,ghost,dark,858,144.0,116.5,93,69.9
dark,steel,Metal Sound,Foul Play,Iron Head,ice,dark,ice,983,126.8,112.8,123,80.3,rock,none,Lock On,Stone Edge,Focus Blast,ghost,ghost,dark,377,103.7,180.2,115,84.8
grass,none,Fury Cutter,Leaf Blade,Superpower,ice,dark,ice,754,126.9,114.6,121,86.5,electric,none,Volt Switch,Thunder Punch,Thunderbolt,ghost,ghost,dark,417,91.6,157.1,142,85.2
psychic,none,Confusion,Rock Slide,Future Sight,ice,dark,ice,576,116.6,137.3,120,61.7,bug,flying,Bug Bite,Aerial Ace,Bug Buzz,ghost,ghost,dark,414,140.0,83.0,137,65.6
steel,psychic,Metal Sound,Psyshock,Payback,ice,dark,ice,437,111.3,151.8,119,86.7,poison,ground,Fury Cutter,Sand Tomb,Earth Power,ghost,ghost,dark,34,130.1,104.1,127,71.7
normal,psychic,Confusion,Psychic Fangs,Trailblaze,ice,dark,ice,203,129.1,102.7,129,75.1,water,none,Water Gun,Aqua Tail,Crunch,ghost,ghost,dark,367,131.5,126.3,102,70.7
rock,steel,Rock Throw,Stone Edge,Bulldoze,ice,dark,ice,805,119.4,169.8,92,68.3,ground,none,Sand Attack,Rock Tomb,Dig,water,water,dark,449,115.3,111.1,152,84.9
grass,poison,Acid,Sludge Bomb,Moonblast,ice,dark,ice,44,122.6,114.9,130,70.7,bug,none,Water Shuriken,Bug Buzz,Acid Spray,water,water,dark,617,143.2,84.3,129,53.4
fighting,flying,Counter,Fly,Brave Bird,ice,dark,ice,145,135.2,106.2,115,69.6,fighting,none,Karate Chop,Cross Chop,Stone Edge,water,water,dark,68,136.4,97.2,124,86.3
grass,flying,Fairy Wind,Aerial Ace,Energy Ball,ice,dark,ice,189,97.0,153.5,155,87.5,normal,flying,Wing Attack,Air Cutter,Aerial Ace,water,water,dark,17,110.9,100.8,147,65.0
normal,none,Astonish,Crunch,Disarming Voice,ice,dark,ice,295,119.8,98.4,158,68.3,dark,flying,Snarl,Dark Pulse,Aerial Ace,dark,dark,flying,630,92.3,149.2,176,91.8
water,steel,Metal Claw,Hydro Cannon,Drill Peck,ice,dark,ice,395,125.8,115.9,122,80.1,dragon,ice,Ice Fang,Avalanche,Dragon Claw,dark,dark,flying,998,136.2,96.2,125,74.5
ground,dragon,Dragon Breath,Sand Tomb,Bug Buzz,ice,dark,ice,329,125.2,95.8,127,67.7,electric,steel,Thunder Shock,Discharge,Magnet Bomb,dark,dark,flying,82,144.7,112.8,95,79.1
rock,flying,Rock Throw,Rock Slide,Earth Power,ice,dark,ice,142,135.0,103.9,118,65.3,ghost,ground,Astonish,Scorching Sands,Shadow Ball,dark,dark,flying,770,116.6,120.4,136,75.6
fighting,none,Poison Jab,Body Slam,Brick Break,ice,dark,ice,539,141.0,99.8,113,63.5,water,rock,Water Gun,Surf,Ancient Power,dark,dark,flying,564,113.9,132.0,130,67.2
psychic,grass,Magical Leaf,Seed Bomb,Leaf Storm,ice,dark,ice,251,120.5,119.4,129,61.7,normal,none,Charm,Aqua Tail,Thunderbolt,water,water,rock,573,135.5,95.9,127,62.5
ghost,none,Astonish,Night Shade,Power Gem,ice,dark,ice,864,146.2,111.1,94,65.8,grass,none,Quick Attack,Leaf Blade,Last Resort,water,water,rock,470,128.1,133.3,102,73.5
water,flying,Bubble,Aerial Ace,Water Pulse,ice,dark,ice,458,100.8,163.0,120,78.1,rock,electric,Rollout,Wild Charge,Rock Blast,water,water,rock,76,125.2,121.7,117,76.8
ground,none,Mud Slap,Bone Club,Return,ice,dark,ice,104,88.2,133.6,127,69.8,ground,ghost,Shadow Claw,Rock Tomb,Shadow Ball,water,water,rock,867,112.2,168.3,106,89.2
ice,none,Powder Snow,Avalanche,Body Slam,ice,dark,ice,975,120.7,75.9,203,80.6,rock,none,Mud Slap,Superpower,Meteor Beam,water,water,rock,526,127.2,118.4,116,69.1
water,none,Mud Shot,Weather Ball (Water),Earthquake,ice,ice,normal,186,114.7,121.7,140,77.6,normal,none,Double Kick,Body Slam,Payback,water,water,rock,832,111.0,141.7,128,78.6
rock,none,Mud Slap,Rock Slide,Bulldoze,ice,ice,normal,525,123.3,110.7,131,64.2,fire,fighting,Fire Spin,Close Combat,Blast Burn,water,water,rock,392,136.7,100.4,118,65.6
ghost,grass,Shadow Claw,Seed Bomb,Shadow Ball,ice,ice,normal,709,127.8,104.6,131,81.0,electric,none,Volt Switch,Thunder Punch,Thunderbolt,water,water,rock,417,91.6,157.1,142,85.2
dragon,flying,Dragon Tail,Breaking Swipe,Dragon Ascent,ice,ice,normal,384,146.5,92.0,113,72.9,rock,none,Smack Down,Rock Slide,Flamethrower,water,water,rock,409,164.6,66.3,125,56.1
fighting,psychic,Psycho Cut,Ice Punch,Dynamic Punch,ice,ice,normal,308,106.9,139.5,141,85.6,fire,none,Ember,Overheat,Earthquake,rock,rock,fire,324,107.6,151.3,127,73.6
ground,none,Mud Slap,Bone Club,Rock Slide,ice,ice,normal,105,110.8,145.0,126,89.5,water,none,Bubble,Surf,Aerial Ace,rock,rock,fire,657,135.4,99.2,123,67.5
water,none,Waterfall,Hydro Pump,Blizzard,ice,ice,normal,594,96.7,98.8,240,73.9,bug,electric,Volt Switch,X-Scissor,Fly,rock,rock,fire,738,146.4,94.4,111,71.2
psychic,none,Hidden Power (Psychic),Psyshock,Night Shade,ice,ice,normal,578,149.2,82.7,121,46.4,fairy,none,Charm,Moonblast,Thunderbolt,rock,rock,fire,683,116.5,108.0,153,77.8
normal,psychic,Confusion,Stomp,Wild Charge,ice,ice,normal,899,127.0,96.8,143,65.4,fire,flying,Ember,Blast Burn,Dragon Claw,rock,rock,fire,6,132.2,108.3,117,78.5
rock,none,Mud Slap,Rock Slide,Bulldoze,ice,ice,normal,525,123.3,110.7,131,64.2,dragon,none,Dragon Tail,Dragon Claw,Aqua Tail,fire,fire,dragon,611,145.5,89.3,119,75.8
electric,steel,Thunder Shock,Fell Stinger,Wild Charge,ice,ice,normal,777,132.1,105.6,121,89.8,poison,psychic,Acid,Surf,Shadow Ball,fire,fire,dragon,199,117.9,115.5,139,76.2
ice,none,Powder Snow,Ice Punch,Liquidation,ice,ice,normal,614,134.9,94.6,129,69.6,normal,flying,Steel Wing,Fly,Drill Run,fire,fire,ground,22,132.6,102.7,124,59.5
normal,psychic,Confusion,Stomp,Wild Charge,ice,ice,normal,899,127.0,96.8,143,65.4,psychic,fire,Quick Attack,V-Create,Psychic,steel,flying,ground,494,120.5,119.4,129,73.4
dragon,none,Dragon Breath,Flamethrower,Twister,ice,ice,normal,372,123.3,118.4,123,69.9,rock,none,Counter,Meteor Beam,Trailblaze,steel,flying,ground,185,117.2,130.1,125,64.9
fire,none,Fire Spin,Flame Charge,Flamethrower,ice,ice,normal,814,130.0,102.1,130,67.0,grass,none,Vine Whip,Frenzy Plant,Earthquake,steel,flying,ground,154,111.5,138.4,130,82.1
dragon,ground,Dragon Tail,Crunch,Earthquake,ice,ice,normal,718,114.1,128.3,133,75.6,water,none,Water Gun,Aqua Tail,Aqua Jet,steel,flying,ground,550,134.0,96.5,129,72.6
normal,none,Rollout,Payback,Bulldoze,ice,ice,normal,775,137.1,110.2,108,57.7,steel,flying,Steel Wing,Brave Bird,Sky Attack,steel,flying,ground,227,106.2,163.1,122,82.9
fire,none,Fire Spin,Crunch,Flamethrower,rock,dark,ground,514,136.6,94.5,126,63.6,fire,none,Incinerate,Blast Burn,Thunder Punch,steel,flying,ground,157,132.2,108.3,117,80.6
fire,none,Incinerate,Blast Burn,Thunder Punch,rock,dark,ground,157,132.2,108.3,117,80.6,ice,water,Powder Snow,Icicle Spear,Earthquake,steel,flying,ground,365,113.1,114.3,153,83.6
grass,dark,Feint Attack,Leaf Blade,Foul Play,rock,dark,ground,274,125.2,78.1,157,65.2,dark,flying,Snarl,Brave Bird,Dark Pulse,steel,flying,ground,430,150.6,68.3,145,65.0
fire,none,Ember,Fire Punch,Return,rock,dark,ground,5,127.1,109.1,127,70.9,dark,none,Sucker Punch,Crunch,Poison Fang,steel,flying,ground,262,125.9,104.3,134,81.3
rock,ground,Rock Throw,Rock Tomb,Rock Slide,rock,dark,ground,74,123.5,123.5,113,66.0,grass,dark,Leafage,Night Slash,Frenzy Plant,steel,flying,ground,908,141.6,95.0,118,72.1
ice,psychic,Powder Snow,Psyshock,Ice Punch,rock,dark,ground,238,141.2,89.1,120,70.2,psychic,none,Confusion,Swift,Future Sight,grass,dark,grass,480,102.0,176.8,122,73.4
fire,none,Incinerate,Crunch,Flamethrower,rock,dark,ground,910,119.8,106.3,146,76.7,water,none,Bubble,Aqua Jet,Razor Shell,grass,dark,grass,341,131.1,95.8,117,61.4
water,none,Ice Fang,Bubble Beam,Scald,rock,dark,ground,245,107.4,141.9,137,81.1,ground,none,Mud Slap,Drill Run,Rock Tomb,grass,dark,grass,529,139.5,81.9,141,74.9
