pokemon_winner,pokemon_loser,left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
Tauros (Blaze),Huntail,6,7,20,95,276,6,7,10,128,127.8,123.1,111,72.9,18,0,139,13,52,18,18,2,367,131.5,126.3,102,70.7,1
Heracross,Floragato,1,6,16,282,154,6,6,1,214,134.7,107.9,114,67.6,10,0,83,111,187,10,10,5,907,124.9,111.0,129,58.1,0
Nidorina,Magneton,14,0,99,188,273,14,14,4,30,110.9,113.4,157,81.1,4,17,134,62,153,4,4,17,82,144.7,112.8,95,79.1,1
Skuntank,Kubfu,14,2,97,52,276,14,2,10,435,121.7,95.2,157,80.2,6,0,16,47,34,6,6,6,891,136.6,95.6,125,66.9,1
Kingdra,Gothorita,18,3,21,180,175,3,3,18,230,121.8,126.1,119,70.3,15,0,15,109,200,15,15,15,575,112.5,130.8,135,60.3,0
Grovyle,Tyrunt,10,0,106,143,4,13,10,8,253,137.4,101.7,117,73.4,16,3,23,71,9,3,3,16,696,127.6,106.3,129,75.9,0
Alakazam,Tentacruel,15,0,104,92,230,15,7,9,65,157.0,103.1,88,58.5,18,14,1,224,246,14,18,14,73,110.1,139.9,132,86.0,0
Toxtricity,Bombirdier,4,14,1,293,194,14,4,6,849,140.8,94.3,119,83.5,8,2,129,101,218,2,8,16,962,128.0,115.3,118,80.9,0
Primarina,Quilava,18,5,14,61,125,5,5,18,730,131.9,116.8,110,75.9,7,0,25,95,60,7,7,11,156,127.1,109.1,127,67.7,0
Tapu Fini,Darumaka,18,5,139,260,169,18,18,5,788,115.3,155.3,108,77.9,7,0,30,92,95,7,7,7,554,132.0,83.5,154,71.2,1
Floragato,Hatterene,10,0,83,111,187,10,10,5,907,124.9,111.0,129,58.1,15,5,14,205,192,5,15,10,858,144.0,116.5,93,69.9,1
Mr. Rime,Obstagoon,12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,2,13,16,172,49,6,2,6,862,112.6,126.7,138,75.8,1
Scolipede,Fletchinder,1,14,99,296,154,14,1,1,545,132.6,121.1,105,74.5,7,8,25,101,4,7,8,8,662,123.0,103.2,142,80.7,0
Aurorus,Spritzee,16,12,102,289,156,12,12,16,699,114.1,105.7,163,87.9,5,0,14,273,77,5,4,5,682,105.0,107.6,168,76.5,1
Gabite,Omanyte,3,11,93,60,97,11,11,7,444,128.8,101.0,133,64.1,16,18,93,218,215,11,16,16,138,129.2,131.7,102,68.8,1
Bibarel,Flygon,13,18,114,260,130,16,18,13,400,124.2,97.7,149,77.1,11,3,23,226,71,3,11,3,330,129.2,109.6,123,79.0,0
Mightyena,Gogoat,2,0,129,52,188,2,2,14,262,125.9,104.3,134,81.3,10,0,136,143,34,10,10,6,673,119.2,95.0,165,82.2,0
Mandibuzz,Centiskorch,2,8,123,55,4,2,2,8,630,92.3,149.2,176,91.8,7,1,25,148,52,7,1,2,851,129.3,98.3,136,76.8,0
Ursaluna,Flareon,11,13,130,262,118,13,13,11,901,126.2,97.2,145,67.5,7,0,25,258,97,7,6,7,136,141.7,110.0,100,68.8,1
Togekiss,Annihilape,5,8,14,205,15,5,15,6,468,124.8,125.3,114,75.9,6,9,16,209,47,6,9,6,979,123.9,106.3,137,86.8,1
Avalugg (Hisuian),Decidueye (Hisuian),12,16,102,216,137,12,16,12,713,117.0,134.7,121,76.3,10,6,89,4,15,10,8,6,724,129.6,106.9,124,65.2,0
Nidorino,Sylveon,14,0,99,245,60,14,14,11,33,124.2,103.7,140,70.0,5,0,14,205,164,5,15,5,700,118.9,121.2,131,78.0,1
Lopunny,Volbeat,13,0,20,279,103,6,12,6,428,112.1,146.4,121,70.8,1,0,130,41,273,13,1,4,313,111.1,136.8,132,55.0,1
Lurantis,Corsola,10,0,36,143,258,1,10,6,754,126.9,114.6,121,86.5,18,16,7,191,215,18,16,16,222,109.3,141.6,133,72.0,0
Victini,Masquerain,15,7,106,283,200,13,7,15,494,120.5,119.4,129,73.4,1,8,3,7,148,8,8,1,284,130.3,107.8,122,63.4,0
Rhyhorn,Celesteela,11,16,95,43,251,11,11,13,111,113.4,110.2,158,72.8,17,8,3,26,139,8,13,17,797,119.6,119.0,131,76.7,0
Fraxure,Yanmega,3,0,23,71,13,3,3,18,611,145.5,89.3,119,75.8,1,8,8,4,9,1,8,16,469,137.3,98.3,121,67.3,0
Stunky,Quilladin,14,2,5,52,276,2,2,10,434,114.3,88.2,147,62.6,10,0,136,26,86,10,13,10,651,115.4,130.0,129,74.1,1
Ledian,Scyther,1,8,8,81,4,1,6,8,166,101.9,161.2,134,83.2,1,8,36,4,172,1,8,2,123,134.9,110.7,111,79.5,1
Wyrdeer,Nidorina,13,15,15,251,293,15,13,4,899,127.0,96.8,143,65.4,14,0,99,188,273,14,14,4,30,110.9,113.4,157,81.1,0
Mismagius,Rotom (Frost),9,0,40,230,55,9,9,2,429,133.8,120.8,104,68.2,4,12,134,273,24,4,4,12,479,129.2,143.2,93,61.6,1
Haunter,Suicune,9,14,119,235,133,9,9,12,93,161.2,85.5,100,80.3,18,0,74,40,224,12,18,18,245,107.4,141.9,137,81.1,1
Lokix,Amaura,1,2,129,296,276,2,1,10,920,132.9,104.1,121,80.5,16,12,102,289,273,12,12,4,698,114.3,104.2,164,80.0,1
Castform (Sunny),Aurorus,7,0,25,287,248,7,7,10,351,113.4,119.6,146,82.5,16,12,102,289,156,12,12,16,699,114.1,105.7,163,87.9,1
Volbeat,Alakazam,1,0,130,41,273,13,1,4,313,111.1,136.8,132,55.0,15,0,104,92,230,15,7,9,65,157.0,103.1,88,58.5,1
Frogadier,Vigoroth,18,0,7,260,4,18,18,8,657,135.4,99.2,123,67.5,13,0,16,26,216,6,13,16,288,117.7,112.7,144,71.7,1
Magnezone,Salamence,4,17,137,293,161,4,4,17,462,134.9,120.1,102,83.4,3,8,23,101,180,3,8,3,373,142.9,92.6,117,69.9,0
Avalugg,Roserade,12,0,74,19,26,12,12,13,713,112.9,142.5,124,79.6,10,14,99,287,144,14,7,10,407,143.1,114.9,95,80.4,1
Armarouge,Glaceon,7,15,77,205,95,7,15,7,936,133.6,110.6,114,85.9,12,0,75,19,137,12,12,12,471,137.2,124.1,96,63.0,0
Comfey,Delcatty,5,0,136,111,77,10,10,5,764,116.9,155.4,105,66.5,13,0,14,293,61,5,4,5,301,112.7,115.2,153,68.1,0
Turtonator,Scraggy,7,3,77,74,182,7,3,7,776,114.2,153.0,112,78.9,2,6,29,282,104,2,6,2,559,120.4,122.1,126,70.4,0
Sceptile,Zebstrika,10,0,36,105,32,1,10,3,254,136.9,108.5,110,77.3,4,0,124,293,95,4,4,7,523,137.7,95.5,123,62.9,1
Yanma,Kricketune,1,8,106,4,240,13,8,1,193,131.6,87.4,148,63.6,1,0,36,296,4,1,1,8,402,127.7,88.0,155,79.9,1
Beautifly,Vibrava,1,8,79,7,240,1,8,1,267,146.4,81.9,128,59.7,11,3,21,223,41,3,11,1,329,125.2,95.8,127,67.7,0
Relicanth,Kricketune,18,16,139,13,9,18,18,16,369,105.2,137.5,147,80.8,1,0,36,296,4,1,1,8,402,127.7,88.0,155,79.9,0
Flabebe,Durant,5,0,136,58,200,10,5,15,669,103.4,113.4,119,53.0,1,17,8,296,253,1,1,16,632,135.9,121.2,100,72.8,1
Guzzlord,Jirachi,2,3,23,38,245,3,2,14,799,113.3,65.5,266,86.3,17,15,15,64,58,15,17,5,385,120.5,119.4,129,74.7,1
Toucannon,Qwilfish,13,8,11,78,215,10,8,16,733,137.3,96.8,122,60.5,18,14,99,13,131,14,18,12,211,130.5,105.5,123,84.7,0
Grimer (Alolan),Ambipom,14,2,97,52,245,14,2,14,88,123.6,86.0,171,76.2,13,0,4,4,213,9,8,13,424,133.9,99.9,124,64.1,1
Drifloon,Pineco,9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,1,0,8,218,213,1,16,13,204,103.4,115.1,127,61.7,1
Drilbur,Poliwrath,11,0,95,79,218,11,11,16,529,139.5,81.9,141,74.9,18,6,16,224,137,6,18,12,62,116.5,119.7,138,79.8,1
Crabominable,Gourgeist (Super),6,12,7,133,34,18,12,6,740,136.8,87.9,135,60.5,9,10,40,230,227,9,9,10,711,115.8,128.8,130,82.0,0
Meganium,Magby,10,0,136,105,84,10,10,11,154,111.5,138.4,130,82.1,7,0,81,92,34,6,7,6,240,139.5,95.8,120,72.9,1
Oinkologne (Female),Charmeleon,13,0,130,26,276,13,13,10,916,110.9,110.3,166,78.7,7,0,25,92,213,7,7,13,5,127.1,109.1,127,70.9,0
Tinkatuff,Loudred,5,17,28,187,99,5,5,17,958,104.2,134.4,149,86.2,13,0,5,251,61,2,13,5,294,125.2,80.7,178,59.5,0
Mamoswine,Scraggy,12,11,102,135,118,12,12,11,473,136.2,87.4,137,76.7,2,6,29,282,104,2,6,2,559,120.4,122.1,126,70.4,1
Grafaiai,Golbat,14,13,95,188,245,11,14,14,945,134.9,106.5,115,77.7,14,8,143,188,230,8,14,9,42,118.7,113.7,140,75.5,0
Oricorio (Baile),Avalugg (Hisuian),7,8,3,7,4,8,8,8,741,130.9,101.4,128,65.6,12,16,102,216,137,12,16,12,713,117.0,134.7,121,76.3,1
Passimian,Gogoat,6,0,16,38,34,6,2,6,766,129.9,100.5,132,76.3,10,0,136,143,34,10,10,6,673,119.2,95.0,165,82.2,0
Gothitelle,Fletchinder,15,0,15,216,109,15,16,15,576,116.6,137.3,120,61.7,7,8,25,101,4,7,8,8,662,123.0,103.2,142,80.7,1
Hydreigon,Qwilfish,2,3,21,38,99,3,2,17,635,136.6,103.5,116,79.9,18,14,99,13,131,14,18,12,211,130.5,105.5,123,84.7,0
Milotic,Rufflet,18,0,23,260,295,3,18,13,350,113.2,132.2,132,72.9,13,8,143,31,101,8,8,8,627,126.3,91.1,153,72.5,0
Gothitelle,Arcanine,15,0,15,216,109,15,16,15,576,116.6,137.3,120,61.7,7,0,30,293,201,7,4,15,59,132.7,104.0,122,78.5,1
Tauros (Aqua),Thievul,6,18,20,11,276,6,18,10,128,127.8,123.1,111,80.7,2,0,129,172,187,2,2,5,828,121.7,123.1,123,84.6,0
Espeon,Omastar,15,0,15,201,230,15,15,9,196,147.6,104.1,98,63.1,16,18,93,216,127,11,16,18,139,126.1,128.4,109,61.2,0
Blissey,Farfetch'd,13,0,147,293,58,15,4,5,242,81.4,110.2,307,66.3,13,8,36,143,4,1,10,8,83,116.8,109.2,131,83.5,1
Tyrantrum,Mightyena,16,3,23,156,52,3,16,2,697,130.2,113.4,116,66.2,2,0,129,52,188,2,2,14,262,125.9,104.3,134,81.3,0
Toxapex,Pancham,14,18,97,36,246,14,18,14,748,92.3,222.0,118,88.1,6,0,130,26,52,13,13,2,674,123.3,100.2,147,57.9,0
Meowstic (Female),Sliggoo,15,0,15,230,200,15,9,15,678,117.6,124.5,130,58.6,3,0,139,167,74,18,18,3,705,115.2,132.6,127,64.7,1
Pidgeot,Grimer (Alolan),13,8,38,7,31,8,8,8,18,117.2,113.8,143,79.0,14,2,97,52,245,14,2,14,88,123.6,86.0,171,76.2,1
Primarina,Loudred,18,5,14,61,125,5,5,18,730,131.9,116.8,110,75.9,13,0,5,251,61,2,13,5,294,125.2,80.7,178,59.5,1
Carnivine,Golurk,10,0,136,192,52,10,10,2,455,130.2,101.2,130,67.4,11,9,95,235,81,11,9,6,623,133.9,96.7,129,87.3,1
Lugia,Snorlax,15,8,23,101,5,3,8,8,249,102.4,165.0,129,74.5,13,0,84,26,258,9,13,6,143,108.4,101.7,187,76.3,0
Toucannon,Vivillon,13,8,11,78,215,10,8,16,733,137.3,96.8,122,60.5,1,8,38,4,41,8,8,1,666,133.0,84.5,150,63.4,0
Dustox,Ampharos,1,14,15,245,240,15,14,1,269,95.0,148.7,142,64.5,4,0,137,38,276,4,2,10,181,127.4,106.8,129,77.8,0
Inteleon,Tinkatuff,18,0,139,260,230,18,18,9,818,154.0,89.6,105,55.3,5,17,28,187,99,5,5,17,958,104.2,134.4,149,86.2,1
Grovyle,Shaymin (Land),10,0,106,143,4,13,10,8,253,137.4,101.7,117,73.4,10,0,89,111,228,10,10,10,492,117.9,122.3,131,64.6,0
Cinderace,Thundurus (Incarnate),7,0,31,97,95,7,7,7,815,139.0,102.3,113,63.6,4,8,134,270,52,4,4,2,642,147.6,97.1,106,75.8,0
Graveler,Cherrim (Overcast),16,11,95,253,60,11,16,11,75,122.9,127.3,117,67.1,10,0,11,58,248,10,5,10,421,122.9,115.2,129,53.0,0
Haunter,Fletchinder,9,14,119,235,133,9,9,12,93,161.2,85.5,100,80.3,7,8,25,101,4,7,8,8,662,123.0,103.2,142,80.7,0
Growlithe (Hisuian),Charizard,7,16,25,216,97,7,16,7,58,131.9,89.9,142,68.2,7,8,25,21,71,7,7,3,6,132.2,108.3,117,78.5,0
Roselia,Clefairy,10,14,97,245,186,14,14,10,315,139.6,107.3,107,54.8,5,0,147,61,262,15,5,13,35,102.5,103.4,157,39.5,1
Golem (Alolan),Greninja,16,4,114,293,215,16,4,16,76,125.2,121.7,117,76.8,18,2,141,125,172,18,18,2,658,139.6,101.6,113,86.3,1
Rampardos,Zangoose,16,0,121,216,97,16,16,7,409,164.6,66.3,125,56.1,13,0,36,47,172,1,6,2,335,144.8,87.1,122,78.2,1
Emolga,Drakloak,4,8,134,2,62,4,8,4,587,127.9,111.4,123,89.3,3,9,4,230,180,9,9,3,886,131.0,92.6,141,68.2,0
Sigilyph,Vivillon,15,8,3,7,9,8,8,16,561,131.6,114.0,114,61.8,1,8,38,4,41,8,8,1,666,133.0,84.5,150,63.4,1
Togekiss,Elekid,5,8,14,205,15,5,15,6,468,124.8,125.3,114,75.9,4,0,134,270,34,4,4,6,239,126.0,97.5,120,69.1,1
Slowking,Lickitung,18,15,139,260,200,18,18,15,199,113.4,120.9,143,67.2,13,0,84,26,192,9,13,10,108,98.3,126.9,183,86.8,1
Ceruledge,Magcargo,7,9,77,230,95,7,9,7,937,136.9,114.0,105,71.5,7,16,77,218,182,7,16,7,219,110.2,157.9,116,83.4,1
Chansey,Meltan,13,0,147,58,200,15,5,15,113,63.0,120.2,421,74.0,17,0,134,273,99,4,4,17,808,111.8,95.8,121,51.0,0
Ursaring,Hoopa,13,0,119,262,47,9,13,6,217,140.3,89.1,128,82.3,15,9,4,230,200,9,9,15,720,144.8,106.3,99,56.8,0
Palossand,Flabebe,9,11,4,226,230,9,11,9,770,116.6,120.4,136,75.6,5,0,136,58,200,10,5,15,669,103.4,113.4,119,53.0,0
Furret,Hakamo-o,13,0,129,262,276,2,13,10,162,116.1,105.4,158,89.5,3,6,23,71,34,3,3,6,783,115.5,134.8,124,85.7,1
Oricorio (Pa'u),Mesprit,15,8,3,7,4,8,8,8,741,130.9,101.4,128,61.2,15,0,15,262,109,15,13,15,481,124.1,125.8,116,62.3,1
Mr. Mime,Zapdos (Galarian),15,5,105,230,200,15,9,15,122,132.2,145.7,88,66.6,6,8,16,101,31,6,8,8,145,135.2,106.2,115,69.6,0
Tauros (Aqua),Mew,6,18,20,11,276,6,18,10,128,127.8,123.1,111,80.7,15,0,119,293,205,9,4,15,151,120.5,119.4,129,83.1,0
Karrablast,Arcanine,1,0,36,296,79,1,1,11,588,127.7,85.7,127,71.4,7,0,30,293,201,7,4,15,59,132.7,104.0,122,78.5,1
Hakamo-o,Comfey,3,6,23,71,34,3,3,6,783,115.5,134.8,124,85.7,5,0,136,111,77,10,10,5,764,116.9,155.4,105,66.5,1
Musharna,Kricketune,15,0,13,205,58,4,15,5,518,113.7,108.9,159,58.2,1,0,36,296,4,1,1,8,402,127.7,88.0,155,79.9,1
Cubone,Lanturn,11,0,95,28,213,11,11,13,104,88.2,133.6,127,69.8,18,4,139,260,273,18,18,4,171,104.8,104.8,194,85.1,0
Axew,Bergmite,3,0,117,71,13,13,3,18,610,139.5,95.2,121,50.9,12,0,130,137,52,13,12,2,712,110.9,113.4,135,55.8,1
Durant,Mr. Rime,1,17,8,296,253,1,1,16,632,135.9,121.2,100,72.8,12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,0
Cradily,Elgyem,16,10,1,218,111,14,16,10,346,106.3,139.0,143,89.7,15,0,15,55,200,15,2,15,605,134.0,94.7,132,54.6,0
Turtwig,Marowak (Alolan),10,0,130,26,227,13,13,10,387,112.6,105.0,135,52.3,7,9,31,28,232,7,11,9,105,110.8,145.0,126,87.3,1
Heatmor,Prinplup,7,0,31,270,97,7,4,7,631,133.3,91.6,136,69.5,18,0,7,137,127,18,12,18,394,119.1,116.0,136,70.1,0
Spiritomb,Bombirdier,9,2,129,218,230,2,16,9,442,121.2,146.4,104,85.0,8,2,129,101,218,2,8,16,962,128.0,115.3,118,80.9,0
Beartic,Lunatone,12,0,102,133,146,12,12,18,614,134.9,94.6,129,69.6,16,15,105,216,164,15,16,5,337,119.8,108.8,143,74.8,1
Relicanth,Lombre,18,16,139,13,9,18,18,16,369,105.2,137.5,147,80.8,18,10,7,224,111,18,18,10,271,106.7,112.6,142,61.8,1
Solrock,Ludicolo,16,15,105,216,200,15,16,15,338,119.8,108.8,143,74.2,18,10,7,224,144,18,18,10,272,117.1,123.7,132,70.8,1
Gourgeist (Large),Passimian,9,10,40,230,227,9,9,10,711,116.6,136.9,121,81.1,6,0,16,38,34,6,2,6,766,129.9,100.5,132,76.3,1
Carracosta,Wailmer,18,16,139,146,9,18,18,16,565,121.8,127.9,118,63.2,18,0,114,224,26,16,18,13,320,117.4,68.3,239,81.1,0
Tangrowth,Clauncher,10,0,136,192,216,10,10,16,465,121.8,112.0,135,72.1,18,0,139,11,48,18,18,18,692,103.4,110.9,127,60.6,1
Poipole,Jumpluff,14,0,97,245,89,14,14,1,803,119.7,113.6,137,68.1,10,8,28,4,86,5,8,10,189,97.0,153.5,155,87.5,1
Dugtrio (Alolan),Goodra,11,17,95,166,139,11,11,17,51,148.9,111.5,90,79.1,3,0,21,13,270,3,18,4,706,119.7,136.8,114,85.5,1
Carnivine,Hawlucha,10,0,136,192,52,10,10,2,455,130.2,101.2,130,67.4,6,8,97,102,4,14,6,8,701,128.9,108.8,124,78.9,0
Stufful,Azumarill,13,6,130,258,251,13,6,13,759,125.2,90.8,157,65.4,18,5,7,131,187,18,12,5,184,93.7,134.1,190,88.9,1
Weavile,Landorus (Incarnate),2,12,123,19,104,2,12,2,461,143.1,103.4,106,65.8,11,8,93,82,216,11,11,16,645,139.9,100.5,114,70.2,1
Hitmonchan,Seviper,6,0,16,133,270,6,12,4,107,128.2,137.3,98,69.8,14,0,97,188,295,14,14,13,336,138.8,89.5,130,71.2,1
Electrode (Hisuian),Scizor,4,10,134,293,262,4,4,13,101,123.3,130.1,113,84.3,1,17,10,172,276,17,2,10,212,137.9,110.3,106,87.2,1
Stoutland,Tangrowth,13,0,116,293,52,11,4,2,508,125.8,114.7,124,72.5,10,0,136,192,216,10,10,16,465,121.8,112.0,135,72.1,0
Rowlet,Thievul,10,8,83,227,86,10,10,10,722,98.3,95.8,154,53.0,2,0,129,172,187,2,2,5,828,121.7,123.1,123,84.6,1
Mawile,Crabominable,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,6,12,7,133,34,18,12,6,740,136.8,87.9,135,60.5,1
Meganium,Volcanion,10,0,136,105,84,10,10,11,154,111.5,138.4,130,82.1,7,18,77,245,182,7,14,7,721,135.6,117.4,103,70.2,1
Morpeko (Full Belly),Wartortle,4,2,134,17,201,4,2,15,877,141.7,97.8,114,90.1,18,0,139,11,131,18,18,12,8,107.9,137.8,139,80.6,1
Swellow,Tangela,13,8,143,31,4,8,8,8,277,136.7,98.6,121,66.9,10,0,136,111,245,10,10,14,114,125.0,121.7,117,65.6,1
Oricorio (Sensu),Krokorok,9,8,3,7,4,8,8,8,741,130.9,101.4,128,66.4,11,2,95,52,84,11,2,11,552,133.6,87.4,142,71.9,0
Krabby,Raichu,18,0,7,211,285,18,18,18,98,148.1,110.4,92,58.2,4,0,134,293,276,4,4,10,26,133.6,110.6,113,85.7,0
Unfezant,Torracat,13,8,3,242,128,8,8,13,521,139.2,96.2,120,48.6,7,0,25,95,52,7,7,2,726,136.6,89.5,134,68.5,0
Pawmo,Emboar,4,6,134,293,270,4,4,4,922,136.1,81.5,142,78.0,7,6,25,21,216,7,7,16,500,137.9,79.9,147,68.4,0
Gorebyss,Darumaka (Galarian),18,0,139,285,200,18,18,15,368,136.9,118.5,101,54.4,12,0,74,133,131,12,12,12,554,132.0,83.5,154,68.2,0
Weezing (Galarian),Charjabug,14,5,28,244,38,5,14,2,110,118.4,138.9,115,87.7,1,4,137,296,62,4,1,4,737,116.1,132.4,126,82.3,1
Floragato,Bellossom,10,0,83,111,187,10,10,5,907,124.9,111.0,129,58.1,10,0,1,143,58,14,10,5,182,115.7,132.9,126,83.3,0
Dewgong,Houndstone,18,12,75,137,79,12,12,11,87,102.9,133.8,158,83.8,9,0,84,201,230,9,15,9,972,121.0,131.2,117,74.2,0
Bouffalant,Leavanny,13,0,93,251,154,11,13,1,626,118.9,115.9,136,68.8,1,10,119,143,296,9,10,1,542,131.0,109.0,120,80.5,1
Meowstic (Female),Aurorus,15,0,15,230,200,15,9,15,678,117.6,124.5,130,58.6,16,12,102,289,156,12,12,16,699,114.1,105.7,163,87.9,0
Drifloon,Tauros (Blaze),9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,6,7,20,95,276,6,7,10,128,127.8,123.1,111,72.9,1
Jynx,Gabite,12,15,15,19,205,15,12,15,124,142.2,101.5,109,53.5,3,11,93,60,97,11,11,7,444,128.8,101.0,133,64.1,0
Espurr,Inteleon,15,0,15,205,86,15,15,10,677,113.4,108.4,145,63.5,18,0,139,260,230,18,18,9,818,154.0,89.6,105,55.3,0
Drakloak,Bayleef,3,9,4,230,180,9,9,3,886,131.0,92.6,141,68.2,10,0,89,9,86,10,16,10,153,105.6,141.6,141,72.3,1
Pumpkaboo (Large),Zoroark,9,10,4,111,104,9,10,2,710,113.4,115.1,133,78.7,2,0,119,104,245,9,2,14,571,157.9,86.9,103,67.0,1
Shiinotic,Gothitelle,10,5,4,164,227,9,5,10,756,116.8,132.3,124,73.2,15,0,15,216,109,15,16,15,576,116.6,137.3,120,61.7,0
Anorith,Rayquaza,16,1,128,11,9,1,18,16,347,147.0,92.1,113,44.7,3,8,23,32,69,3,3,8,384,146.5,92.0,113,72.9,0
Camerupt,Steelix,7,11,77,82,182,7,11,7,323,134.9,101.2,122,66.8,17,11,133,201,32,4,15,3,208,98.4,185.2,124,91.4,1
Sawk,Slowbro (Galarian),6,0,97,26,34,14,13,6,539,141.0,99.8,113,63.5,14,15,97,224,38,14,18,2,80,119.1,108.4,145,74.7,0
Mantyke,Dartrix,18,8,7,4,285,18,8,18,458,100.8,163.0,120,78.1,10,8,83,31,227,10,8,10,723,112.3,116.8,152,74.1,0
Elgyem,Wailord,15,0,15,55,200,15,2,15,605,134.0,94.7,132,54.6,18,0,114,260,213,16,18,13,321,119.6,66.8,235,80.8,1
Flareon,Goldeen,7,0,25,258,97,7,6,7,136,141.7,110.0,100,68.8,18,0,93,13,122,11,18,13,118,116.0,105.0,120,57.1,0
Pidgeotto,Growlithe,13,8,143,7,4,8,8,8,17,110.9,100.8,147,65.0,7,0,25,26,97,7,13,7,58,126.9,90.8,135,69.6,0
Rampardos,Herdier,16,0,121,216,97,16,16,7,409,164.6,66.3,125,56.1,13,0,116,60,273,11,11,4,507,119.7,110.9,141,69.0,0
Donphan,Ludicolo,11,0,95,276,26,11,10,13,232,125.8,112.0,126,83.6,18,10,7,224,144,18,18,10,272,117.1,123.7,132,70.8,1
Rotom,Kubfu,4,9,4,273,176,9,4,9,479,133.6,123.0,102,69.3,6,0,16,47,34,6,6,6,891,136.6,95.6,125,66.9,1
Buzzwole,Rowlet,1,6,16,258,148,6,6,1,794,129.3,112.7,119,71.0,10,8,83,227,86,10,10,10,722,98.3,95.8,154,53.0,0
Porygon2,Litleo,13,0,86,277,297,13,13,4,233,123.7,115.7,127,64.9,7,13,77,95,52,7,7,2,667,121.1,106.1,143,79.3,1
Cetitan,Slurpuff,12,0,102,19,26,12,12,13,975,120.7,75.9,203,80.6,5,0,28,187,86,5,5,10,685,117.4,118.1,138,73.6,1
Samurott (Hisuian),Leavanny,18,2,36,55,137,1,2,12,503,133.2,95.6,132,80.5,1,10,119,143,296,9,10,1,542,131.0,109.0,120,80.5,1
Magcargo,Whirlipede,7,16,77,218,182,7,16,7,219,110.2,157.9,116,83.4,1,14,99,245,238,14,14,1,544,96.6,158.0,113,60.0,0
Stonjourner,Luxray,16,0,112,253,216,16,16,16,874,125.6,108.0,131,63.1,4,0,124,293,201,4,4,15,405,138.0,99.0,118,71.8,1
Uxie,Latias,15,0,15,262,109,15,13,15,480,102.0,176.8,122,73.4,3,15,21,162,267,3,15,4,380,124.5,137.9,105,64.0,1
Ninetales (Alolan),Noctowl,12,5,102,289,58,12,12,5,38,115.1,133.6,126,84.5,13,8,143,242,171,8,8,9,164,105.3,120.2,167,76.8,1
Crawdaunt,Drilbur,18,2,123,172,224,2,2,18,342,144.5,96.9,110,71.1,11,0,95,79,218,11,11,16,529,139.5,81.9,141,74.9,1
Lucario,Porygon-Z,6,17,32,270,230,6,4,9,448,145.8,95.6,110,77.9,13,0,86,277,297,13,13,4,474,148.7,88.4,115,52.5,1
Machop,Latios,6,0,81,49,213,6,6,13,66,127.7,81.5,157,78.5,3,15,21,71,149,3,3,15,381,138.4,112.9,103,70.9,0
Crawdaunt,Wyrdeer,18,2,123,172,224,2,2,18,342,144.5,96.9,110,71.1,13,15,15,251,293,15,13,4,899,127.0,96.8,143,65.4,0
Hawlucha,Cherrim (Sunshine),6,8,97,102,4,14,6,8,701,128.9,108.8,124,78.9,10,0,11,287,248,10,7,10,421,122.9,115.2,129,66.4,0
Tyranitar,Crabominable,16,2,121,38,253,16,2,16,248,130.2,109.4,121,63.9,6,12,7,133,34,18,12,6,740,136.8,87.9,135,60.5,1
Fuecoco,Yanma,7,0,77,52,97,7,2,7,909,106.7,93.3,152,64.5,1,8,106,4,240,13,8,1,193,131.6,87.4,148,63.6,1
Golem,Lurantis,16,11,95,253,215,11,16,16,76,125.2,121.7,117,74.4,10,0,36,143,258,1,10,6,754,126.9,114.6,121,86.5,1
Scraggy,Drifloon,2,6,29,282,104,2,6,2,559,120.4,122.1,126,70.4,9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,1
Farfetch'd (Galarian),Rotom,6,0,36,143,31,1,10,8,83,137.9,97.8,120,83.9,4,9,4,273,176,9,4,9,479,133.6,123.0,102,69.3,0
Pyroar,Zygarde (50% Forme),7,13,77,95,55,7,7,2,668,135.0,98.0,125,74.5,3,11,23,52,84,3,2,11,718,114.1,128.3,133,75.6,0
Ponyta (Galarian),Bulbasaur,15,0,104,262,187,15,13,5,77,134.8,109.4,113,58.7,10,14,136,192,245,10,10,14,1,111.8,105.9,120,58.7,0
Tauros (Aqua),Zapdos (Galarian),6,18,20,11,276,6,18,10,128,127.8,123.1,111,80.7,6,8,16,101,31,6,8,8,145,135.2,106.2,115,69.6,0
