Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Uxie,[],"['Grass', 'Ice', 'Flying']",{},"{'Quick Attack': 3, 'Ice Shard': 3}",{},"{'Leaf Blade': 3, 'Last Resort*': 3, 'Triple Axel': 3, 'Ancient Power': 3}"
Victini,"['Ice', 'Rock', 'Bug']","['Grass', 'Dragon']","{'Ice Shard': 2, 'Struggle Bug': 3}",{'Dragon Tail': 1},"{'Triple Axel': 2, 'Night Slash': 2, 'Aqua Jet': 3, 'Ancient Power': 3}","{'Seed Bomb': 1, 'Draco Meteor*': 1}"
Cryogonal,"['Steel', 'Poison']","['Psychic', 'Fire', 'Normal', 'Psychic']",{'Metal Sound': 1},"{'Quick Attack': 2, 'Confusion': 1}","{'Gyro Ball': 1, 'Gunk Shot': 1}","{'V-Create': 2, 'Psychic': 2, 'Stomp': 1, 'Wild Charge': 1}"
Grovyle,"['Rock', 'Water']","['Water', 'Fighting']",{'Mud Shot': 3},"{'Poison Sting': 4, 'Counter*': 2}","{'Aqua Jet': 3, 'Rock Tomb': 3}","{'Aqua Tail': 4, 'Cross Poison': 4, 'Scald': 2, 'Icy Wind': 2}"
Kabuto,"['Fighting', 'Ghost']","['Grass', 'Fire']","{'Karate Chop': 2, 'Astonish': 2}","{'Quick Attack': 3, 'Ember': 4}","{'Cross Chop': 2, 'Return': 2, 'Dynamic Punch': 2, 'Shadow Punch': 2}","{'Leaf Blade': 3, 'Aerial Ace': 3, 'Flame Charge': 4, 'Dig': 4}"
Oinkologne,"['Grass', 'Fairy', 'Rock', 'Bug']",['Poison'],"{'Astonish': 3, 'Fury Cutter': 3, 'Volt Switch': 4}",{'Infestation': 2},"{'Moonblast': 3, 'Seed Bomb': 3, 'Rock Blast': 3, 'Liquidation': 3, 'Magnet Bomb': 4, 'Discharge': 4}","{'Body Slam': 2, 'Seed Bomb': 2}"
Shiinotic,['Water'],"['Normal', 'Electric', 'Dragon', 'Flying']",{'Bubble': 3},"{'Tackle': 3, 'Thunder Shock': 2, 'Dragon Breath': 2}","{'Drill Peck': 3, 'Icy Wind': 3}","{'Body Slam': 3, 'Trailblaze': 3, 'Thunder Punch': 2, 'Brick Break': 2, 'Sky Attack': 2, 'Moonblast*': 2}"
Manectric,"['Water', 'Poison']","['Ghost', 'Grass']","{'Bubble': 2, 'Metal Sound': 4, 'Infestation': 1}",{'Shadow Claw': 3},"{'Scald*': 2, 'Mud Bomb': 2, 'Overheat': 4, 'Gyro Ball': 4, 'Sludge': 1, 'Dark Pulse': 1}","{'Seed Bomb': 3, 'Shadow Ball': 3}"
Poliwhirl,"['Normal', 'Psychic']","['Electric', 'Psychic']","{'Mud Shot': 2, 'Confusion': 3}","{'Thunder Fang': 2, 'Psycho Cut': 1}","{'Body Slam': 2, 'Trailblaze': 2, 'Psychic Fangs': 3, 'Shadow Ball*': 3}","{'Psychic Fangs': 2, 'Wild Charge': 2, 'Grass Knot*': 1, 'Moonblast': 1}"
Swoobat,"['Water', 'Water', 'Poison']",[],"{'Water Gun': 2, 'Mud Slap': 2, 'Poison Sting': 3}",{},"{'Cross Chop': 2, 'Liquidation': 2, 'Body Slam': 2, 'Earth Power': 2, 'Wrap': 3, 'Water Pulse': 3}",{}
Golduck,"['Electric', 'Poison', 'Water', 'Fairy', 'Normal', 'Flying']","['Psychic', 'Flying', 'Water', 'Dragon']","{'Spark': 4, 'Mud Shot': 3, 'Bubble': 4, 'Steel Wing': 2}","{'Confusion': 2, 'Water Gun': 2, 'Dragon Tail': 3}","{'Wild Charge': 4, 'Crunch': 4, 'Sludge': 3, 'Ice Beam': 4, 'Play Rough': 4, 'Fly': 2, 'Drill Run': 2}","{'Fly': 2, 'Psychic Fangs': 2, 'Aqua Jet': 2, 'Ice Beam': 2, 'Dragon Claw': 3, 'Night Slash': 3}"
Durant,"['Grass', 'Dark']","['Steel', 'Poison']",{'Sucker Punch': 4},{'Metal Sound': 3},"{'Trailblaze': 4, 'Dynamic Punch': 4}","{'Overheat': 3, 'Gyro Ball': 3}"
Cacturne,"['Grass', 'Steel', 'Fire', 'Dragon']","['Bug', 'Steel', 'Steel', 'Rock']","{'Metal Claw': 2, 'Incinerate': 1}","{'Bug Bite': 4, 'Metal Sound': 4}","{'Iron Head': 2, 'Return': 2, 'Dragon Pulse': 1, 'Overheat': 1}","{'X-Scissor': 4, 'Stone Edge': 4, 'Rock Tomb': 4, 'Body Slam': 4}"
Krookodile,['Fire'],"['Steel']",{'Karate Chop': 3},"{'Mud Slap': 4, 'Thunder Shock': 3}","{'Fire Punch': 3, 'Brick Break': 3}","{'Rock Slide': 4, 'Bulldoze': 4, 'Double Iron Bash*': 3, 'Superpower': 3}"
Magby,"['Water', 'Ice']","['Ground', 'Dark']",{'Ice Shard': 2},{'Mud Slap': 3},"{'Icy Wind': 2, 'Liquidation': 2}","{'Crunch': 3, 'Earthquake': 3}"
Milotic,"['Ground', 'Rock', 'Water', 'Ground', 'Fighting', 'Fire', 'Fairy']",[],"{'Mud Slap': 3, 'Mud Shot': 3, 'Double Kick': 2, 'Charm': 2, 'Thunder Fang': 4}",{},"{'Bulldoze': 3, 'Stomp': 3, 'Hydro Cannon*': 3, 'Sludge': 3, 'Flame Charge': 2, 'Trailblaze': 2, 'Thunderbolt': 2, 'Draining Kiss': 2, 'Psychic Fangs': 4, 'Breaking Swipe': 4}",{}
Rhyhorn,"['Fire', 'Ghost', 'Poison', 'Fire', 'Poison']",['Water'],"{'Ember': 2, 'Shadow Claw': 4, 'Fire Fang': 3, 'Poison Jab': 3}",{'Dragon Tail': 3},"{'Flame Charge': 3, 'Stomp': 2, 'Shadow Punch*': 4, 'Sludge Bomb': 4, 'Scorching Sands': 3, 'Poison Fang': 3, 'Wrap': 3}","{'Surf': 3, 'Wrap': 3}"
Wormadam (Sandy),"['Fighting', 'Fire']",[],"{'Double Kick': 2, 'Mud Shot': 4}",{},"{'Flame Charge': 2, 'Trailblaze': 2, 'Rock Slide': 4, 'Earthquake': 4}",{}
Tauros (Blaze),"['Dark', 'Steel']","['Bug', 'Ground', 'Water', 'Steel', 'Poison', 'Water', 'Ground']",{'Snarl': 2},"{'Bug Bite': 2, 'Dragon Tail': 2, 'Metal Sound': 3, 'Mud Shot': 3}","{'Dark Pulse': 2, 'X-Scissor': 2}","{'Bug Buzz': 2, 'Bulldoze': 2, 'Surf': 2, 'Wrap': 2, 'Gyro Ball': 3, 'Gunk Shot': 3, 'Aqua Tail*': 3, 'Stone Edge': 3}"
Rayquaza,"['Poison', 'Dragon', 'Electric']",[],"{'Poison Jab': 3, 'Thunder Shock': 2}",{},"{'Dragon Claw': 3, 'Sludge Bomb': 3, 'Ice Punch': 2, 'Wild Charge': 2}",{}
Naganadel,"['Dark']","['Dragon', 'Flying']","{'Counter': 4, 'Feint Attack': 2}","{'Dragon Tail': 3, 'Bite': 4, 'Fury Cutter': 4}","{'Stone Edge': 4, 'Psychic Fangs': 4, 'Foul Play': 2, 'Play Rough': 2}","{'Breaking Swipe*': 3, 'Dragon Ascent*': 3, 'Crunch': 4, 'Trailblaze': 4, 'X-Scissor': 4, 'Rock Slide': 4}"
Stoutland,"['Electric', 'Dark', 'Flying', 'Dark', 'Ghost']","['Grass', 'Flying', 'Water', 'Dark']","{'Thunder Shock': 2, 'Snarl': 4, 'Shadow Claw': 3}","{'Magical Leaf': 2, 'Metal Sound': 4, 'Water Shuriken': 3}","{'Thunder Punch': 2, 'Return': 2, 'Brave Bird': 4, 'Dark Pulse': 4, 'Foul Play': 3, 'Power Gem': 3}","{'Grass Knot': 2, 'Energy Ball': 2, 'Mirror Shot': 4, 'Zap Cannon': 4, 'Hydro Cannon*': 3, 'Night Slash': 3}"
Electabuzz,"['Electric', 'Fire']","['Normal']",{'Thunder Shock': 3},"{'Sand Attack': 2, 'Peck': 4}","{'Overheat': 3, 'Thunderbolt': 3}","{'Wild Charge': 2, 'Crunch': 2, 'Drill Peck': 4, 'Rock Blast': 4}"
Basculin,"['Water', 'Ground', 'Fighting']",['Steel'],"{'Mud Shot': 2, 'Fury Cutter': 3, 'Mud Slap': 4}",{'Metal Sound': 4},"{'Earth Power': 2, 'Water Pulse': 2, 'Leaf Blade': 3, 'Brave Bird': 3, 'Breaking Swipe': 4, 'Rock Wrecker*': 4}","{'Thunderbolt': 4, 'Vise Grip': 4}"
Palpitoad,"['Psychic', 'Fairy', 'Fairy']","['Water', 'Grass', 'Ground', 'Water', 'Grass']","{'Charm': 3, 'Feint Attack': 3, 'Shadow Claw*': 3}","{'Water Gun': 2, 'Razor Leaf': 2}","{'Psyshock': 4, 'Power Whip': 4, 'Psyshock*': 3, 'Moonblast': 3, 'Drill Peck': 3, 'Foul Play': 3, 'Ice Punch': 3, 'Drill Run': 3}","{'Aqua Tail': 2, 'Aqua Jet': 2, 'Frenzy Plant*': 2, 'Stone Edge': 2, 'Swift': 2, 'Grass Knot': 2, 'Energy Ball': 2}"
Quaquaval,"['Normal', 'Flying', 'Bug', 'Electric']","['Grass', 'Psychic', 'Psychic', 'Fairy']","{'Wing Attack': 2, 'Volt Switch*': 2, 'Fury Cutter*': 4}","{'Bullet Seed': 3, 'Charm': 2}","{'Brave Bird': 2, 'Fly': 2, 'X-Scissor': 2, 'Discharge': 2, 'Sand Tomb': 4, 'Earth Power': 4}","{'Seed Bomb': 3, 'Psychic': 3, 'Psyshock': 2, 'Power Whip': 2}"
Rufflet,['Grass'],"['Water', 'Fighting']",{'Leafage': 1},{'Wing Attack': 2},"{'Grass Knot': 1, 'Play Rough': 1}","{'Close Combat': 2, 'Aqua Jet': 2}"
Bayleef,['Normal'],['Grass'],{'Shadow Claw': 2},{'Vine Whip': 2},"{'Aerial Ace': 2, 'Thunder': 2}","{'Grass Knot': 2, 'Crunch': 2}"
Purugly,"['Dragon', 'Ground']","['Grass', 'Normal', 'Flying']",{'Dragon Tail': 2},"{'Magical Leaf': 2, 'Peck': 2}","{'Sand Tomb': 2, 'Outrage': 2}","{'Ancient Power': 2, 'Energy Ball': 2, 'Drill Peck': 2, 'Rock Blast': 2}"
Blaziken,"['Dragon', 'Ice']",['Steel'],{'Ice Fang': 2},{'Metal Sound': 3},"{'Avalanche': 2, 'Dragon Claw': 2}","{'Thunderbolt': 3, 'Vise Grip': 3}"
Frigibax,[],"['Fire', 'Fighting', 'Ice', 'Steel']",{},"{'Fire Spin': 2, 'Shadow Claw*': 4, 'Dragon Breath': 4}",{},"{'Blaze Kick': 2, 'Blast Burn*': 2, 'Ice Punch': 4, 'Drill Run': 4, 'Dragon Claw': 4, 'Superpower': 4}"
Meowscarada,"['Ghost', 'Dark', 'Steel', 'Fairy', 'Normal']",[],"{'Astonish': 3, 'Snarl': 1, 'Fairy Wind': 1, 'Rollout': 2}",{},"{'Night Shade': 3, 'Power Gem': 3, 'Dark Pulse': 1, 'X-Scissor': 1, 'Moonblast': 1, 'Trailblaze': 1, 'Body Slam*': 2, 'Shadow Ball': 2}",{}
Corsola,"['Ghost', 'Grass']","['Grass', 'Dark', 'Normal', 'Flying', 'Electric', 'Steel']",{'Hex': 1},"{'Leafage': 3, 'Wing Attack': 3, 'Thunder Shock': 3}","{'Shadow Ball': 1, 'Seed Bomb': 1}","{'Night Slash': 3, 'Frenzy Plant*': 3, 'Brave Bird': 3, 'Aerial Ace': 3, 'Discharge': 3, 'Magnet Bomb': 3}"
Swadloon,"['Ground', 'Dark', 'Poison', 'Bug']","['Psychic', 'Flying']","{'Mud Slap': 4, 'Poison Sting': 2}",{'Air Slash': 3},"{'Crunch': 4, 'Earthquake': 4, 'Aqua Tail': 2, 'Cross Poison': 2}","{'Air Cutter': 3, 'Aerial Ace': 3}"
Krokorok,[],"['Bug', 'Grass', 'Grass', 'Fighting']",{},"{'Bug Bite': 4, 'Force Palm': 2}",{},"{'Energy Ball': 4, 'Silver Wind': 4, 'Dynamic Punch': 2, 'Grass Knot*': 2}"
Pignite,"['Grass', 'Electric', 'Flying', 'Dragon']","['Water', 'Ground']","{'Vine Whip': 1, 'Spark': 3, 'Air Slash': 1}",{'Mud Shot': 4},"{'Power Whip': 1, 'Rock Slide': 1, 'Wild Charge': 3, 'Crunch': 3, 'Hurricane': 1, 'Draco Meteor': 1}","{'Aqua Tail*': 4, 'Stone Edge': 4}"
Tangrowth,[],"['Fire', 'Fighting', 'Dragon', 'Grass', 'Ice']",{},"{'Ember': 1, 'Dragon Tail': 2, 'Powder Snow': 3}",{},"{'Rock Tomb': 1, 'Flame Charge': 1, 'Dragon Claw': 2, 'Aqua Tail': 2, 'Ice Beam': 3, 'Energy Ball': 3}"
Nidoking,['Electric'],"['Psychic']",{'Spark': 3},"{'Wing Attack': 4, 'Dragon Breath': 4, 'Confusion': 2}","{'Wild Charge': 3, 'Psychic Fangs*': 3}","{'Close Combat': 4, 'Aqua Jet': 4, 'Dark Pulse': 4, 'Body Slam': 4, 'Swift': 2, 'Future Sight': 2}"
Luxray,"['Poison', 'Dark']","['Poison', 'Ground']","{'Poison Sting': 1, 'Tackle': 4}",{'Fury Cutter*': 3},"{'Crunch': 1, 'Aqua Tail': 1, 'Swift': 4, 'High Horsepower*': 4}","{'Sand Tomb': 3, 'Earth Power': 3}"
Vigoroth,"['Grass', 'Normal']","['Water', 'Poison']",{'Magical Leaf': 3},{'Poison Sting': 3},"{'Earth Power': 3, 'Trailblaze': 3}","{'Aqua Tail': 3, 'Ice Beam': 3}"
Dolliv,[],['Normal'],{},{'Counter': 3},{},"{'Body Slam': 3, 'Rock Slide': 3}"
Maushold,"['Electric']",['Fire'],"{'Acid': 3, 'Karate Chop': 4}",{'Karate Chop': 3},"{'Discharge': 3, 'Crunch': 3, 'Fire Punch': 4, 'Thunderbolt*': 4}","{'Fire Punch': 3, 'Thunderbolt*': 3}"
Eelektrik,[],"['Normal', 'Electric', 'Ice']",{},"{'Mud Shot': 3, 'Thunder Shock': 1}",{},"{'Swift': 3, 'Crunch': 3, 'Thunderbolt': 1, 'Blizzard': 1}"
Ceruledge,"['Poison', 'Fairy', 'Rock']",['Steel'],"{'Fairy Wind': 3, 'Smack Down': 2}",{'Metal Sound': 2},"{'Sludge': 3, 'Brutal Swing': 3, 'Stone Edge': 2, 'Rock Blast': 2}","{'Thunderbolt': 2, 'Vise Grip': 2}"
Weezing,"['Steel', 'Psychic']","['Fire', 'Ghost', 'Dark', 'Flying', 'Fighting', 'Dark']",{'Confusion': 3},"{'Incinerate': 3, 'Feint Attack': 1, 'Karate Chop': 1}","{'Doom Desire': 3, 'Dazzling Gleam': 3}","{'Shadow Ball': 3, 'Flame Charge': 3, 'Drill Peck': 1, 'Foul Play': 1, 'Close Combat': 1, 'Night Slash': 1}"
Floette,"['Psychic', 'Fighting', 'Water']",[],"{'Counter': 3, 'Snarl': 4, 'Double Kick': 2}",{},"{'Return': 3, 'Mirror Coat': 3, 'Dark Pulse': 4, 'Aerial Ace': 4, 'Aqua Jet': 2, 'Trailblaze': 2}",{}
Wobbuffet,"['Poison', 'Bug']","['Fairy', 'Water', 'Electric', 'Bug']",{'Poison Sting': 3},"{'Vine Whip': 3, 'Water Gun': 3, 'Tackle': 3}","{'Aqua Tail': 3, 'Cross Poison': 3}","{'Dazzling Gleam': 3, 'Psychic': 3, 'Surf': 3, 'Thunderbolt': 3, 'Silver Wind': 3}"
Vikavolt,"['Bug', 'Fire']","['Poison', 'Ground', 'Flying', 'Normal']","{'Fury Cutter': 2, 'Fire Spin': 3}","{'Infestation': 3, 'Fury Cutter': 3, 'Tackle': 2}","{'X-Scissor': 2, 'Drill Run': 2, 'Crunch': 3, 'Flamethrower': 3}","{'Sludge': 3, 'Dark Pulse': 3, 'Earthquake': 3, 'Aerial Ace': 3, 'Body Slam': 2, 'Bulldoze': 2}"
Karrablast,"['Normal', 'Flying', 'Ground']","['Bug', 'Electric', 'Water', 'Psychic', 'Dragon']","{'Steel Wing': 3, 'Sand Attack': 2, 'Karate Chop': 4}","{'Volt Switch*': 2, 'Confusion': 3, 'Dragon Tail': 2}","{'Brave Bird': 3, 'Drill Peck': 3, 'Weather Ball (Rock)': 2, 'Scorching Sands': 2, 'Cross Chop': 4, 'Return': 4}","{'X-Scissor': 2, 'Fly': 2, 'Aqua Tail': 2, 'Psychic Fangs': 3, 'Dragon Claw': 2}"
Seviper,"['Fire', 'Psychic', 'Ground']","['Ground', 'Rock']","{'Fire Fang': 2, 'Confusion': 2, 'Tackle': 3}",{'Mud Slap': 3},"{'Fire Punch': 2, 'Flame Charge': 2, 'Shadow Ball': 2, 'Thunder Punch': 2, 'Trailblaze': 3, 'Body Slam': 3}","{'Bulldoze': 3, 'Stomp': 3}"
Darumaka,[],"['Poison', 'Normal']",{},"{'Poison Jab': 2, 'Sucker Punch': 4}",{},"{'Poison Fang': 2, 'Wrap': 2, 'Rock Tomb': 4, 'Icy Wind': 4}"
Buzzwole,"['Water', 'Dark', 'Fighting', 'Ice', 'Grass']",[],"{'Snarl': 3, 'Bubble': 4, 'Magical Leaf': 3}",{},"{'Night Slash': 3, 'Scald': 3, 'Ice Punch': 4, 'Brick Break': 4, 'Triple Axel': 3, 'High Jump Kick*': 3}",{}
Crawdaunt,[],"['Bug', 'Fighting']",{},"{'Counter': 3, 'Dragon Breath': 4}",{},"{'Superpower': 3, 'Lunge': 3, 'Aqua Tail': 4, 'Thunder Punch*': 4}"
Ponyta,"['Fire', 'Fighting', 'Fire']","['Normal', 'Ground', 'Rock', 'Ice', 'Psychic']","{'Ember': 3, 'Fire Spin': 2}","{'Fury Cutter': 1, 'Mud Slap': 2, 'Powder Snow': 1}","{'Flame Charge': 2, 'Rock Slide': 3, 'Flamethrower': 2}","{'Close Combat': 1, 'Night Slash': 1, 'Bulldoze': 2, 'Stomp': 2, 'Psyshock': 1, 'Ice Punch': 1}"
Combusken,[],"['Fire', 'Fairy', 'Normal']",{'Air Slash': 4},"{'Ember': 3, 'Fairy Wind': 3, 'Lock On': 4}","{'Poison Fang': 4, 'Shadow Ball': 4}","{'Flame Charge': 3, 'Stomp': 3, 'Moonblast': 3, 'Swift': 3, 'Tri Attack': 4, 'Zap Cannon': 4}"
Croconaw,"['Fire', 'Water', 'Water', 'Psychic']","['Dark', 'Ghost', 'Fighting', 'Poison']","{'Ember': 2, 'Ice Fang': 3, 'Confusion': 2}","{'Shadow Claw': 2, 'Sucker Punch': 4, 'Poison Jab': 3}","{'Fire Punch': 2, 'Return': 2, 'Bubble Beam': 3, 'Scald': 3, 'Aqua Tail': 2, 'Psychic Fangs': 2}","{'Foul Play': 2, 'Power Gem': 2, 'Fly': 4, 'Brave Bird': 4, 'Close Combat': 3, 'Aerial Ace': 3}"
Charmeleon,"['Ice', 'Ground', 'Water']","['Water', 'Dragon', 'Fighting', 'Normal', 'Flying', 'Grass', 'Water']","{'Powder Snow': 4, 'Rollout': 3}","{'Water Gun': 2, 'Dragon Tail': 3, 'Bullet Seed': 2, 'Fury Cutter': 3}","{'Icicle Spear': 4, 'High Horsepower': 4, 'Surf': 3, 'Return': 3}","{'Ice Punch': 2, 'Crunch': 2, 'Clanging Scales*': 3, 'Dragon Claw': 3, 'Drill Peck': 2, 'Rock Blast': 2, 'Leaf Blade': 3, 'Superpower': 3, 'Crabhammer': 2, 'Ice Beam': 2}"
Lopunny,"['Dragon', 'Psychic']","['Psychic']",{'Dragon Breath': 2},"{'Shadow Claw': 4, 'Psycho Cut': 3}","{'Dragon Claw': 2, 'Luster Purge*': 2}","{'Close Combat': 4, 'Trailblaze': 4, 'Swift': 3, 'Play Rough': 3}"
Latios,['Dragon'],"['Normal', 'Fairy', 'Steel', 'Grass', 'Steel']",{'Dragon Breath': 3},"{'Double Kick': 2, 'Fairy Wind': 2, 'Bullet Seed': 2}","{'Flamethrower': 3, 'Twister': 3}","{'Triple Axel': 2, 'Focus Blast': 2, 'Play Rough': 2, 'Bulldoze': 2, 'Power Whip': 2, 'Thunder': 2}"
Quaxwell,['Water'],"['Rock', 'Rock', 'Electric']",{'Water Gun': 2},"{'Sucker Punch': 2, 'Volt Switch': 3}","{'Water Pulse': 2, 'Silver Wind': 2}","{'Stone Edge': 2, 'Drill Run': 2, 'Rock Tomb': 3, 'Rock Slide': 3}"
Lumineon,"['Ground', 'Dragon', 'Ground']",['Water'],"{'Dragon Breath': 3, 'Sand Attack': 2}",{'Water Gun': 2},"{'Sand Tomb': 3, 'Bug Buzz': 3, 'Rock Tomb*': 2, 'Dig': 2}","{'Aqua Jet': 2, 'Aerial Ace': 2}"
Eelektross,"['Water', 'Grass', 'Normal', 'Bug', 'Flying']","['Fire', 'Bug', 'Grass', 'Electric']","{'Bubble': 2, 'Rollout': 2, 'Bug Bite*': 1}","{'Fire Spin': 3, 'Shadow Claw*': 4, 'Sucker Punch': 3}","{'Scald': 2, 'Leaf Storm': 2, 'Payback': 2, 'Bulldoze': 2, 'Bug Buzz': 1, 'Signal Beam': 1}","{'Flame Charge': 3, 'Flamethrower': 3, 'Leaf Blade': 4, 'X-Scissor': 4, 'Zap Cannon': 3, 'Parabolic Charge': 3}"
Ludicolo,[],"['Electric', 'Dragon', 'Flying', 'Fire', 'Dragon', 'Ghost']",{'Hex': 4},"{'Volt Switch*': 2, 'Dragon Breath': 2, 'Ember': 3, 'Astonish': 1}","{'Shadow Ball': 4, 'Dark Pulse': 4}","{'Dragon Claw': 2, 'Thunderbolt': 2, 'Sky Attack': 2, 'Moonblast*': 2, 'Psyshock': 3, 'Flame Charge': 3, 'Shadow Ball': 1, 'Outrage': 1}"
Electrode,"['Ice', 'Flying']","['Rock', 'Water']",{'Ice Shard': 3},{'Fury Cutter': 3},"{'Triple Axel': 3, 'Ancient Power': 3}","{'Cross Chop': 3, 'Stone Edge': 3}"
Articuno,"['Psychic', 'Poison']",['Electric'],"{'Confusion': 3, 'Infestation': 3}",{'Volt Switch': 3},"{'Swift': 3, 'Future Sight': 3, 'Body Slam': 3, 'Seed Bomb': 3}","{'Discharge': 3, 'Hyper Beam': 3}"
Gardevoir,"['Water', 'Electric', 'Normal']","['Rock', 'Electric', 'Bug', 'Grass']","{'Water Gun': 2, 'Volt Switch': 2, 'Sucker Punch': 3, 'Lick': 4}","{'Volt Switch': 2, 'Fury Cutter': 2, 'Tackle': 4, 'Charm': 4, 'Incinerate': 4}","{'Aqua Tail': 2, 'Crunch': 2, 'Brutal Swing': 2, 'Trailblaze': 2, 'Surf': 3, 'Grass Knot': 3, 'Psychic Fangs': 4, 'Shadow Ball': 4}","{'Stone Edge': 2, 'Rock Blast': 2, 'X-Scissor': 2, 'Cross Poison': 2, 'Body Slam': 4, 'Seed Bomb': 4, 'Psyshock': 4, 'Aura Sphere*': 4, 'Flame Charge': 4}"
Huntail,"['Rock', 'Psychic']","['Psychic', 'Fairy', 'Fire', 'Flying']","{'Mud Slap': 2, 'Confusion': 2}","{'Charm': 2, 'Air Slash': 3}","{'Rock Slide': 2, 'Bulldoze': 2, 'Psyshock': 2, 'Dazzling Gleam': 2}","{'Triple Axel': 2, 'Shadow Ball': 2, 'Air Cutter': 3, 'Aerial Ace': 3}"
Kabutops,"['Grass', 'Poison', 'Ground', 'Flying', 'Dragon']","['Water', 'Fairy', 'Grass', 'Ghost', 'Grass']","{'Acid': 2, 'Fury Cutter': 3, 'Scratch': 4}","{'Bubble': 1, 'Vine Whip': 2, 'Astonish': 3}","{'Sludge Bomb': 2, 'Moonblast': 2, 'Aerial Ace': 3, 'Dig': 3, 'Dragon Claw': 4, 'Aqua Tail': 4}","{'Ice Beam': 1, 'Play Rough': 1, 'Grass Knot': 3, 'Wrap': 2, 'Foul Play': 3}"
Gloom,['Normal'],"['Rock', 'Water']",{'Rollout': 3},{'Fury Cutter*': 2},"{'Body Slam': 3, 'Thunderbolt': 3}","{'Stone Edge': 2, 'Ancient Power': 2}"
Seismitoad,"['Poison', 'Water', 'Psychic', 'Fairy']","['Normal', 'Flying']","{'Acid': 2, 'Psywave': 4}",{'Wing Attack': 2},"{'Aqua Tail': 2, 'Sludge Bomb': 2, 'Shadow Ball': 4, 'Psychic': 4}","{'Sky Attack': 2, 'Night Shade': 2}"
Skrelp,"['Bug', 'Poison']","['Water', 'Ground', 'Water']",{'Poison Sting': 3},"{'Mud Shot': 2, 'Waterfall': 1, 'Fairy Wind': 4}","{'Lunge': 3, 'Trailblaze': 3}","{'Earth Power': 2, 'Sludge Bomb': 2, 'Hydro Pump': 1, 'Blizzard': 1, 'Seed Bomb': 4, 'Moonblast': 4}"
Kingdra,"['Rock', 'Rock', 'Fighting', 'Dark']",[],"{'Rock Throw': 2, 'Lock On': 2, 'Counter': 4, 'Sucker Punch': 3}",{},"{'Rock Tomb': 2, 'Rock Slide': 2, 'Stone Edge': 2, 'Focus Blast': 2, 'Dynamic Punch': 4, 'Brutal Swing*': 4, 'Crunch': 3, 'Poison Fang': 3}",{}
Bonsly,['Electric'],"['Water', 'Dragon', 'Poison', 'Water']",{'Volt Switch': 4},"{'Dragon Breath': 2, 'Poison Jab': 2}","{'Brutal Swing': 4, 'Trailblaze': 4}","{'Outrage': 2, 'Octazooka': 2, 'Brine': 2, 'Sludge Wave': 2}"
Hitmonlee,"['Dark', 'Fighting', 'Water', 'Ice']",[],"{'Feint Attack': 2, 'Ice Shard': 3}",{'Dragon Breath': 4},"{'Upper Hand': 2, 'Foul Play': 2, 'Icy Wind': 3, 'Liquidation': 3}","{'Brutal Swing*': 4, 'Flash Cannon': 4}"
Scraggy,"['Fairy', 'Grass', 'Dragon', 'Grass', 'Dark']","['Fighting', 'Ground', 'Steel']","{'Fairy Wind': 2, 'Astonish': 2, 'Snarl': 4}","{'Double Kick': 2, 'Mud Shot': 2}","{'Moonblast': 2, 'Trailblaze': 2, 'Outrage': 2, 'Seed Bomb': 2, 'Leaf Blade': 4, 'Foul Play': 4}","{'Close Combat': 2, 'Blaze Kick': 2, 'Rock Slide': 2, 'Earthquake': 2}"
Landorus (Incarnate),"['Electric', 'Water', 'Normal']",[],"{'Volt Switch': 4, 'Mud Slap': 4, 'Tackle': 3}",{},"{'Thunder Cage*': 4, 'Hyper Beam': 4, 'Liquidation': 4, 'Surf': 4, 'Wild Charge': 3, 'Stomp': 3}",{}
Regieleki,"['Dark', 'Poison']","['Ground', 'Flying', 'Poison', 'Ghost', 'Grass', 'Bug', 'Flying']",{'Poison Jab': 2},"{'Mud Shot': 4, 'Infestation': 3, 'Shadow Claw': 3}","{'Aqua Tail': 2, 'Shadow Ball': 2}","{'Earth Power': 4, 'Rock Slide': 4, 'Body Slam': 3, 'Seed Bomb': 3, 'Shadow Ball': 3, 'Air Cutter': 3, 'Silver Wind': 3}"
Prinplup,"['Ice', 'Psychic', 'Bug', 'Grass']","['Fire', 'Flying']","{'Powder Snow': 3, 'Shadow Claw*': 2}",{'Incinerate': 2},"{'Psyshock': 3, 'Ice Punch': 3, 'Leaf Blade': 2, 'X-Scissor': 2}","{'Brave Bird': 2, 'Earthquake*': 2}"
Smoochum,"['Fire', 'Dark']","['Water', 'Water', 'Electric']","{'Ember': 1, 'Sucker Punch': 2}",{'Bubble': 2},"{'Flame Charge': 1, 'Stomp': 1, 'Night Slash': 2, 'Play Rough': 2}","{'Icy Wind': 3, 'Hydro Pump': 3, 'Thunderbolt': 2, 'Water Pulse': 2}"
Cubone,"['Fire', 'Water', 'Fire', 'Fire']","['Electric', 'Ice', 'Grass']","{'Incinerate': 1, 'Fire Spin': 2}","{'Thunder Shock': 2, 'Vine Whip': 2}","{'Sludge Bomb': 1, 'Overheat': 1, 'Crunch': 2, 'Flamethrower': 2}","{'Thunderbolt': 2, 'Blizzard': 2, 'Grass Knot': 2, 'Wrap': 2}"
